asis_symbol,freq_cards,asis_source,status,mirror_symbol,mirror_path,signature_delta,example_card,example_line,notes
AllianceSelfEffect,68,primitive,OK,AllianceSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Alliance.cs,,,,
ChangeCardNamesClass,63,keywords,OK,ChangeCardNamesClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/ChangeCardNamesClass.cs,identity,P_223,266,
RaidSelfEffect,63,primitive,OK,RaidSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Raid.cs,,,,
MatchConditionOpponentsPermanentCount,61,commons,OK,MatchConditionOpponentsPermanentCount,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
AddJogressConditionClass,59,keywords,OK,AddJogressConditionClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddJogressConditionClass.cs,,,,
IsOwnerPermanent,59,commons,OK,IsOwnerPermanent,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenPermanentWouldDigivolve,58,commons,OK,CanTriggerWhenPermanentWouldDigivolve,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenPermanentRemoveField,57,commons,OK,CanTriggerWhenPermanentRemoveField,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
BarrierSelfEffect,55,primitive,OK,BarrierSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Barrier.cs,,,,
CanUnsuspend,55,commons,OK,CanUnsuspend,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
PlaceSelfDelayOptionSecurityEffect,54,primitive,OK,PlaceSelfDelayOptionSecurityEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
DNADigivolvePermanentsIntoHandOrTrashCard,51,commons,OK,DNADigivolvePermanentsIntoHandOrTrashCard,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
SelectTrashDigivolutionCards,51,commons,OK,SelectTrashDigivolutionCards,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnAddDigivolutionCard,50,commons,OK,CanTriggerOnAddDigivolutionCard,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeDigivolutionCostStaticEffect,49,primitive,OK,ChangeDigivolutionCostStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GetPermanentsFromHashtable,46,commons,OK,GetPermanentsFromHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ArmorPurgeEffect,45,primitive,OK,ArmorPurgeEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/ArmorPurge.cs,,,,
GainCanNotAttack,44,commons,OK,GainCanNotAttack,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsMinDP,43,commons,OK,IsMinDP,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
RushSelfStaticEffect,43,primitive,OK,RushSelfStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Rush.cs,,,,
AddSkillClass,42,keywords,OK,AddSkillClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddSkillClass.cs,,,,
CanTriggerWhenLinked,42,commons,OK,CanTriggerWhenLinked,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsJogress,42,commons,OK,IsJogress,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
ChangeDPStaticEffect,41,primitive,OK,ChangeDPStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanNotAffectedClass,40,keywords,OK,CanNotAffectedClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CanNotAffectedClass.cs,,,,
GainPierce,40,commons,OK,GainPierce,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Pierce.cs,,,,
IsOwnerEffect,40,commons,OK,IsOwnerEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GainRush,39,commons,OK,GainRush,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Rush.cs,,,,
IsExistInSecurity,39,commons,OK,IsExistInSecurity,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
SaveEffect,39,primitive,OK,SaveEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Save.cs,,,,
CanTriggerOnEndAttack,38,commons,OK,CanTriggerOnEndAttack,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GetPermanentFromHashtable,36,commons,OK,GetPermanentFromHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenLinking,35,commons,OK,CanTriggerWhenLinking,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
GetCardFromHashtable,35,commons,OK,GetCardFromHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
PlaySelfDigimonAfterBattleSecurityEffect,35,primitive,OK,PlaySelfDigimonAfterBattleSecurityEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,,,,
IsByBattle,34,commons,OK,IsByBattle,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
IsMinLevel,34,commons,OK,IsMinLevel,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
PlayOptionCards,34,commons,OK,PlayOptionCards,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/PlayCardsBridge.cs,,,,
CanNotSuspendClass,33,keywords,OK,CanNotSuspendClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/CanNotSuspendClass.cs,,,,
IsExistOnField,33,commons,OK,IsExistOnField,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
DisableEffectClass,32,keywords,OK,DisableEffectClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/DisableEffectClass.cs,,,,
PlayCardClass,32,keywords,OK,PlayCardClass,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,,,,
GetPlayedPermanentsFromEnterFieldHashtable,31,commons,OK,GetPlayedPermanentsFromEnterFieldHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
AddEffectToPlayer,30,commons,OK,AddEffectToPlayer,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanentOrPlayer.cs,,,,
CollisionSelfStaticEffect,30,primitive,OK,CollisionSelfStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Collision.cs,,,,
IsPermanentExistsOnOwnerBattleAreaTamer,30,commons,OK,IsPermanentExistsOnOwnerBattleAreaTamer,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnMove,29,commons,OK,CanTriggerOnMove,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
RevealDeckTopCardsAndProcessForAll,29,commons,OK,RevealDeckTopCardsAndProcessForAll,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/RevealLibrary.cs,,,,
GetHashtablesFromHashtable,28,commons,OK,GetHashtablesFromHashtable,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GetFromHashtable.cs,,,,
CanTriggerOnTrashHand,27,commons,OK,CanTriggerOnTrashHand,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerOnTrashSelfDigivolutionCard,27,commons,OK,CanTriggerOnTrashSelfDigivolutionCard,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenOwnerUseOption,27,commons,OK,CanTriggerWhenOwnerUseOption,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
FortitudeSelfEffect,27,primitive,OK,FortitudeSelfEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Fortitude.cs,,,,
GainCantUnsuspendUntilOpponentTurnEnd,27,commons,OK,GainCantUnsuspendUntilOpponentTurnEnd,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
AddAppfuseMethodByName,26,primitive,OK,AddAppfuseMethodByName,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/AddAppfusionMethod.cs,,,,
AddEffectToPermanent,26,commons,OK,AddEffectToPermanent,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanentOrPlayer.cs,,,,
CanTriggerWhenPermanentUnsuspends,26,commons,OK,CanTriggerWhenPermanentUnsuspends,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
CanTriggerWhenSelfPermanentSuspends,25,commons,OK,CanTriggerWhenSelfPermanentSuspends,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,,,,
RevealDeckTopCardsAndSelect,25,commons,OK,RevealDeckTopCardsAndSelect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/RevealLibrary.cs,,,,
BlockerStaticEffect,24,primitive,OK,BlockerStaticEffect,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Blocker.cs,,,,
