gate,dependency,asis_kind,source_patterns,role_in_unity_client,headless_replacement_module,replacement_design,completion_criteria,priority,notes
Phase 1,Photon,네트워크 세션,Photon.Pun; Photon.Realtime; RPC; Room; Player,remote room; ownership; RPC sync; player identity,Local session; Action queue; GameEvent,network를 deterministic local match context와 action/event stream으로 대체,RPC gameplay 흐름이 local action/event로 매핑됨,HIGH,Headless core에 Photon 없음
Phase 1,WebSocketSharp,네트워크 transport,WebSocketSharp.*,client/network transport,External adapter outside core,core에서는 제거하고 future remote runner는 engine 밖에서 처리,core simulation이 socket transport를 요구하지 않음,LOW,local RL에는 불필요
Phase 1,PlayerPrefs,로컬 설정,PlayerPrefs.Get/Set,option; deck selection; user preference 저장,MatchConfig; DataLoading,gameplay-affecting option은 config로 명시,match result가 hidden preference에 영향받지 않음,HIGH,ContinuousController 대체와 함께 처리
Phase 1,ContinuousController,전역 runtime data,ContinuousController.instance,random; option; deck/session/global flag 보관,ContinuousContext; MatchConfig; DataLoading,global value를 immutable config 또는 deterministic service로 전환,match result가 external singleton state에 의존하지 않음,HIGH,후속 포팅 기준 고정 대상
Phase 1,GManager,전역 게임 매니저,GManager.instance,turn; auto processing; attack; effects; players; UI 연결,GManagerBridge; DcgoMatch; EngineContext,global manager를 injected context와 authoritative match로 대체,ported logic이 static singleton 없이 service 접근 가능,HIGH,가장 먼저 닫아야 할 global
Phase 1,Hashtable Effect Context,비정형 payload,Hashtable; GetFromHashtable; HashtableSetting,effect parameter를 untyped dictionary로 전달,EffectContext; EffectRequest,typed context field와 explicit metadata로 대체,effect logic이 magic string key에 의존하지 않음,HIGH,카드 효과 포팅 기준
Phase 1,AutoProcessing,효과 자동 처리,AutoProcessing.cs,triggered effect 수집과 coroutine resolution,EffectScheduler; TimingWindowResolver,explicit trigger collection; queue; priority; choice suspension 사용,mandatory/optional effect의 처리 기준이 고정됨,HIGH,실제 구현은 Phase 2에서 확장
Phase 1,AttackProcess,전투 흐름,AttackProcess.cs,attack declaration; blocking; battle; security 처리,AttackController contract; Rules; Effects,attack을 typed state machine과 event로 모델링,공격 포팅이 붙을 API가 고정됨,HIGH,실제 룰 세부 구현은 Phase 2
Phase 1,Card GameObject State,카드 컴포넌트 상태,CardController; CardObjectController; FieldPermanentCard; HandCard,display card와 gameplay flag를 함께 유지,State; Services; Card repositories,card definition; card instance; visual concern 분리,card state가 GameObject 없이 snapshot/mutation 가능,HIGH,State/Zone kernel 선행
Phase 1,Debug Log,진단,Debug.Log; Debug.LogWarning; Debug.LogError,Unity console과 client log,EngineTrace; ILogSink,structured deterministic log와 trace event로 대체,trace가 replay와 parity debug에 충분함,MEDIUM,log text는 source of truth 아님
Phase 1,Time Frame,시간 의존,Time.deltaTime; Time.time; WaitForSeconds,frame/timer 기반 sequencing과 visual delay,Runtime step clock; Coroutines,gameplay는 wall clock이 아니라 explicit step으로 진행,동일 action sequence가 machine speed와 무관,HIGH,wall clock은 성능 측정에만 허용
Phase 1,Unity Random,랜덤,UnityEngine.Random; GameRandom,shuffle과 random effect,IRandomSource,MatchConfig seed 기반 deterministic random 사용,같은 seed가 같은 shuffle; random choice; trace 생성,HIGH,ambient static random 금지
Phase 1,TextMeshPro,텍스트 표시,TMP_Text; TextMeshProUGUI,label; message; counter; log 표시,ILogSink; EngineTrace,plain string과 structured metadata 사용,Headless runtime이 TMPro에 의존하지 않음,LOW,debug text data는 가능
Phase 1,DOTween,애니메이션 순서,DG.Tweening; Tween; Sequence,card animation과 후속 logic gate,Coroutines; Runtime,event sequencing으로 gameplay gate를 표현하고 visual interpolation 제외,rule outcome이 tween completion에 의존하지 않음,MEDIUM,숨은 gameplay gate만 보존
Phase 1,Animation Animator,시각 상태,Animator; Animation; Play; triggers,공격; 페이즈; 효과 표시,Diagnostics only,visual animation 대신 gameplay event 발생,animation-triggered gameplay side effect가 runtime/effect service로 이동,MEDIUM,visual 자체는 제외
Excluded,Audio,사운드 효과,AudioSource; AudioClip; PlayOneShot,client feedback,None,engine replacement 없음,gameplay path가 audio API를 요구하지 않음,NONE,Headless 범위 밖
Excluded,Camera Cinemachine,카메라,Camera; Cinemachine,client viewing과 camera effect,None,engine replacement 없음,gameplay path가 camera API를 요구하지 않음,NONE,제외
Excluded,Particle VFX,시각 효과,ParticleSystem; Coffee.UIExtensions; Shapes2D; UIEffect,client-only visual effect,None,engine replacement 없음,gameplay path가 VFX API를 요구하지 않음,NONE,숨은 gameplay side effect 발견 시만 재검토
Excluded,UnityEditor,Editor tooling,using UnityEditor; EditorWindow; CustomEditor,Inspector/editor utility,Separate tooling if needed,runtime에서는 제외하고 필요 시 offline converter로 별도 구현,Headless runtime이 UnityEditor에 의존하지 않음,NONE,converter는 runtime assembly 밖
Excluded,Addressables,Asset 로딩,Addressables.*,client asset async loading,DataLoading if gameplay data discovered,core engine에서는 사용하지 않음,Headless runtime이 Addressables에 의존하지 않음,LOW,일반 gameplay data는 file loader로 처리
Excluded,SceneManager,씬 흐름,SceneManager.LoadScene; active scene,menu; battle; result scene 전환,DcgoMatch; MatchConfig,scene load 대신 config로 match 생성,gameplay behavior가 scene transition을 요구하지 않음,HIGH,scene name은 migration note로만 가능
Excluded,Deck Editor UI,덱 구성 UI,DeckListPanel; EditDeck; SelectDeck,deck 생성과 선택 UI,DeckListLoader; DeckValidator,UI는 제외하고 deck data loading과 validation만 보존,batch match setup이 deck UI 없이 동작,MEDIUM,validation은 Phase 2에서 활용
Excluded,Login SDK Ads Payment,플랫폼 기능,platform SDK files,계정; 광고; 결제; 플랫폼 통합,None,Headless engine에서 제외,engine assembly가 platform SDK를 참조하지 않음,NONE,RL simulation 범위 밖
Excluded,ProfanityFilter,채팅/소셜 필터,ProfanityFilter,player text input 필터,None,gameplay와 무관하므로 제외,gameplay dependency 없음,NONE,제외
Excluded,NetPyoung.WebP,이미지 코덱,NetPyoung.WebP,card image 로드,None,card image는 gameplay data가 아니므로 제외,match가 image decoding을 요구하지 않음,NONE,제외
Excluded,JetBrains.Annotations,정적 annotation,JetBrains.Annotations,code annotation,C# nullable analysis,nullable reference type과 XML docs로 대체,필수 runtime dependency 없음,LOW,포팅 중 제거
Conditional,Unsafe NuGet,저수준 라이브러리,System.Runtime.CompilerServices.Unsafe package,package용 transitive helper,Normal NuGet transitive dependency if required,엔진 설계가 직접 의존하지 않음,필요한 library가 요구할 때만 허용,LOW,명시 의존은 피함
