goal_id,phase,area,goal,scope,deliverables,unit_test_scope,result_document,blocked_until,completion_gate,priority
G1F-004,Phase 1,Effects,TimingWindowResolver contract,trigger timing contract 확정,TimingWindowResolver interface,trigger collection ordering contract 테스트,docs/test-results/goals/G1F-004_timing_window_contract_unit_test_results.md,G1F-003,Timing contract 테스트 통과,HIGH
G1F-005,Phase 1,Effects,EffectRegistry contract,effect lookup contract 확정,EffectRegistry interface,register lookup missing binding 테스트,docs/test-results/goals/G1F-005_effect_registry_contract_unit_test_results.md,G1F-001,EffectRegistry contract 테스트 통과,HIGH
G1F-006,Phase 1,Effects,Continuous Replacement query contract,상시 대체 효과 조회 경계 확정,IEffectQueryService contracts,modifier restriction replacement query 테스트,docs/test-results/goals/G1F-006_continuous_replacement_query_unit_test_results.md,G1F-005,Effect query contract 테스트 통과,HIGH
G1G-001,Phase 1,Session,Player session model,local player session 모델 확정,HeadlessPlayerId SessionContext,player ownership turn identity 테스트,docs/test-results/goals/G1G-001_player_session_model_unit_test_results.md,G1B-001,session model 테스트 통과,HIGH
G1G-002,Phase 1,Session,Action queue replay metadata,action queue와 replay metadata 확정,HeadlessActionQueue ReplayActionRecord,ordering metadata serialization 테스트,docs/test-results/goals/G1G-002_action_queue_replay_unit_test_results.md,G1G-001; G1A-003,action queue 테스트 통과,HIGH
G1G-003,Phase 1,Session,Photon dependency guard,Photon 제거 검증 확정,dependency scan test,Photon namespace absence 테스트,docs/test-results/goals/G1G-003_photon_dependency_guard_unit_test_results.md,G1G-002,Photon guard 테스트 통과,HIGH
G1H-001,Phase 1,DataLoading,Card repository contract,card lookup contract 확정,ICardRepository CardRecord,get missing query 테스트,docs/test-results/goals/G1H-001_card_repository_contract_unit_test_results.md,G1B-001,Card repository 테스트 통과,HIGH
G1H-002,Phase 1,DataLoading,Card JSON loader,card JSON loading contract 확정,CardAssetJsonLoader,valid invalid schema deterministic failure 테스트,docs/test-results/goals/G1H-002_card_json_loader_unit_test_results.md,G1H-001,Card JSON loader 테스트 통과,HIGH
G1H-003,Phase 1,DataLoading,Deck list loader,decklist parsing contract 확정,DeckListLoader,deck code file invalid entry 테스트,docs/test-results/goals/G1H-003_deck_list_loader_unit_test_results.md,G1H-001,Deck loader 테스트 통과,HIGH
G1H-004,Phase 1,DataLoading,Banlist loader,banlist loading contract 확정,BanlistLoader,valid invalid banlist 테스트,docs/test-results/goals/G1H-004_banlist_loader_unit_test_results.md,G1H-001,Banlist loader 테스트 통과,MEDIUM
G1H-005,Phase 1,DataLoading,Unity asset exclusion guard,gameplay data에서 visual asset 제외 확정,asset exclusion scan,image prefab audio animation exclusion 테스트,docs/test-results/goals/G1H-005_unity_asset_exclusion_guard_unit_test_results.md,G1H-002; G1H-003,Unity asset guard 테스트 통과,HIGH
G1I-001,Phase 1,Diagnostics,Seeded random,deterministic random 확정,IRandomSource GameRandomSource,next shuffle same seed 테스트,docs/test-results/goals/G1I-001_seeded_random_unit_test_results.md,G1A-001,Seeded random 테스트 통과,HIGH
G1I-002,Phase 1,Diagnostics,EngineTrace,trace sequence와 fingerprint 확정,EngineTrace TraceEvent,record snapshot clear fingerprint 테스트,docs/test-results/goals/G1I-002_engine_trace_unit_test_results.md,G1A-001,EngineTrace 테스트 통과,HIGH
G1I-003,Phase 1,Diagnostics,Log sink,log sink contract 확정,ILogSink NullLogSink InMemoryLogSink,info warn error null sink 테스트,docs/test-results/goals/G1I-003_log_sink_unit_test_results.md,G1I-002,Log sink 테스트 통과,MEDIUM
G1I-004,Phase 1,Diagnostics,Forbidden dependency scan,금지 의존성 scan 확정,dependency scan test,Unity Photon TMPro DOTween UI namespace absence 테스트,docs/test-results/goals/G1I-004_forbidden_dependency_scan_unit_test_results.md,G1G-003; G1H-005,forbidden dependency 테스트 통과,HIGH
G1I-005,Phase 1,Gate,Phase 1 aggregate result,Phase 1 전체 결과 집계,phase1 result document,Goal 결과 문서 링크와 전체 테스트 통과 확인,docs/test-results/goals/G1I-005_phase1_aggregate_unit_test_results.md,G1A-005; G1B-006; G1C-004; G1D-004; G1E-005; G1F-006; G1G-003; G1H-005; G1I-004,Phase 2 착수 가능,HIGH
G2A-001,Phase 2,TurnStateMachine,Phase enum과 state mapping 포팅,AS-IS phase 값을 Headless phase로 매핑,HeadlessPhase mapping,phase mapping roundtrip 테스트,docs/test-results/goals/G2A-001_phase_mapping_unit_test_results.md,G1I-005,phase mapping 테스트 통과,HIGH
G2A-002,Phase 2,TurnStateMachine,매치 setup과 선후공 흐름 포팅,초기 player turn security hand setup,setup flow,first player setup 테스트,docs/test-results/goals/G2A-002_setup_first_player_unit_test_results.md,G2A-001,setup 테스트 통과,HIGH
G2A-003,Phase 2,TurnStateMachine,Draw Unsuspend Breeding phase 포팅,초기 phase progression 포팅,phase transition implementation,draw unsuspend breeding 테스트,docs/test-results/goals/G2A-003_early_phase_flow_unit_test_results.md,G2A-002,초기 phase 테스트 통과,HIGH
G2A-004,Phase 2,TurnStateMachine,Main phase와 memory pass 포팅,main phase 진입과 memory pass 처리,main phase memory logic,memory pass 테스트,docs/test-results/goals/G2A-004_main_phase_memory_pass_unit_test_results.md,G2A-003,main phase 테스트 통과,HIGH
G2A-005,Phase 2,TurnStateMachine,End turn cleanup 포팅,턴 종료와 once flag cleanup 처리,end turn cleanup,end turn flag reset 테스트,docs/test-results/goals/G2A-005_end_turn_cleanup_unit_test_results.md,G2A-004,end turn 테스트 통과,HIGH
G2A-006,Phase 2,TurnStateMachine,Legal action dispatch hook 포팅,phase별 legal action 조회 연결,legal action dispatcher,phase legal action 테스트,docs/test-results/goals/G2A-006_legal_action_dispatch_unit_test_results.md,G2A-005,legal dispatch 테스트 통과,HIGH
G2B-001,Phase 2,GameContext,GameContext state accessor 포팅,AS-IS GameContext 접근을 MatchState로 연결,GameContext adapter,state read write 테스트,docs/test-results/goals/G2B-001_gamecontext_state_accessor_unit_test_results.md,G2A-002,GameContext accessor 테스트 통과,HIGH
G2B-002,Phase 2,GameContext,Visibility view 포팅,player view와 debug full view 분리,visibility view,hidden information view 테스트,docs/test-results/goals/G2B-002_visibility_view_unit_test_results.md,G2B-001,visibility 테스트 통과,HIGH
G2C-001,Phase 2,Player,Player zone ownership 포팅,deck hand field trash security ownership 연결,Player zone adapter,zone owner 테스트,docs/test-results/goals/G2C-001_player_zone_ownership_unit_test_results.md,G2B-001,player zone 테스트 통과,HIGH
G2C-002,Phase 2,Player,Memory security deck loss check 포팅,player memory security deck loss 판단,Player rule adapter,memory security deck loss 테스트,docs/test-results/goals/G2C-002_player_terminal_checks_unit_test_results.md,G2C-001,player terminal check 테스트 통과,HIGH
G2D-001,Phase 2,CardController,Card identity binding 포팅,CardController와 CardInstanceState 연결,card identity adapter,card instance binding 테스트,docs/test-results/goals/G2D-001_card_identity_binding_unit_test_results.md,G2C-001,card identity 테스트 통과,HIGH
G2D-002,Phase 2,CardController,Zone movement event 포팅,카드 이동과 이벤트 발생 연결,card movement port,move event 테스트,docs/test-results/goals/G2D-002_card_zone_movement_unit_test_results.md,G2D-001,card movement 테스트 통과,HIGH
G2D-003,Phase 2,CardController,Suspend reveal state 포팅,suspend unsuspend reveal face-up 처리,card state mutation,suspend reveal 테스트,docs/test-results/goals/G2D-003_card_suspend_reveal_unit_test_results.md,G2D-002,card state mutation 테스트 통과,HIGH
G2D-004,Phase 2,CardController,Digivolution source attach 포팅,진화원 attach detach와 source order 처리,source stack mutation,source attach detach 테스트,docs/test-results/goals/G2D-004_digivolution_source_attach_unit_test_results.md,G2D-003,source stack 테스트 통과,HIGH
G2E-001,Phase 2,MainPhaseAction,PlayCardAction 포팅,카드 플레이 action validation과 apply,PlayCardAction,play card legal apply 테스트,docs/test-results/goals/G2E-001_play_card_action_unit_test_results.md,G2A-006; G2D-002,play action 테스트 통과,HIGH
G2E-002,Phase 2,MainPhaseAction,Digivolve action 포팅,디지볼브 action validation과 apply,DigivolveAction,digivolve legal apply 테스트,docs/test-results/goals/G2E-002_digivolve_action_unit_test_results.md,G2E-001; G2D-004,digivolve action 테스트 통과,HIGH
G2E-003,Phase 2,MainPhaseAction,Option activate action 포팅,옵션 사용 action validation과 apply,ActivateCardAction option flow,option use 테스트,docs/test-results/goals/G2E-003_option_activate_action_unit_test_results.md,G2E-001,option action 테스트 통과,HIGH
G2E-004,Phase 2,MainPhaseAction,Attack action 연결 포팅,공격 action을 AttackProcess로 연결,AttackPermanentAction attack intent,attack action dispatch 테스트,docs/test-results/goals/G2E-004_attack_action_dispatch_unit_test_results.md,G2A-006,attack action dispatch 테스트 통과,HIGH
G2E-005,Phase 2,MainPhaseAction,Pass와 Cheat guard 포팅,pass action과 cheat action 제외 정책,PassAction CheatAction guard,pass cheat guard 테스트,docs/test-results/goals/G2E-005_pass_cheat_guard_unit_test_results.md,G2E-001,pass guard 테스트 통과,MEDIUM
G2F-001,Phase 2,AutoProcessing,Trigger event collection 포팅,GameEvent에서 trigger 후보 수집,AutoProcessing trigger collector,event trigger collection 테스트,docs/test-results/goals/G2F-001_trigger_collection_unit_test_results.md,G2A-006; G1F-006,trigger collection 테스트 통과,HIGH
G2F-002,Phase 2,AutoProcessing,Mandatory effect ordering 포팅,mandatory effect 순서 처리,mandatory effect ordering,mandatory order 테스트,docs/test-results/goals/G2F-002_mandatory_effect_order_unit_test_results.md,G2F-001,mandatory ordering 테스트 통과,HIGH
G2F-003,Phase 2,AutoProcessing,Optional prompt queue 포팅,optional effect 선택 요청 연결,optional prompt queue,optional choice 테스트,docs/test-results/goals/G2F-003_optional_prompt_queue_unit_test_results.md,G2F-002; G1E-005,optional prompt 테스트 통과,HIGH
G2F-004,Phase 2,AutoProcessing,Security delayed trigger hook 포팅,security와 delayed trigger 연결,security delayed hook,security delayed trigger 테스트,docs/test-results/goals/G2F-004_security_delayed_trigger_hook_unit_test_results.md,G2F-003,security delayed hook 테스트 통과,HIGH
G2G-001,Phase 2,AttackProcess,Attack declaration target 포팅,공격 선언과 target 후보 생성,attack declaration,target candidate 테스트,docs/test-results/goals/G2G-001_attack_declaration_targets_unit_test_results.md,G2E-004,attack declaration 테스트 통과,HIGH
G2G-002,Phase 2,AttackProcess,Block timing 포팅,block timing window와 blocker 선택,block timing,block choice 테스트,docs/test-results/goals/G2G-002_block_timing_unit_test_results.md,G2G-001; G1E-005,block timing 테스트 통과,HIGH
G2G-003,Phase 2,AttackProcess,Battle DP deletion 포팅,DP 비교와 battle deletion 처리,battle resolver,battle DP deletion 테스트,docs/test-results/goals/G2G-003_battle_dp_deletion_unit_test_results.md,G2G-002,battle 테스트 통과,HIGH
G2G-004,Phase 2,AttackProcess,Security check 포팅,security check와 security zone 이동,security resolver,security check 테스트,docs/test-results/goals/G2G-004_security_check_unit_test_results.md,G2G-003,security check 테스트 통과,HIGH
G2G-005,Phase 2,AttackProcess,End attack trigger 포팅,end attack event와 trigger 연결,end attack trigger hook,end attack trigger 테스트,docs/test-results/goals/G2G-005_end_attack_trigger_unit_test_results.md,G2G-004; G2F-001,end attack trigger 테스트 통과,HIGH
G2Z-001,Phase 2,Gate,Phase 2 aggregate result,Phase 2 전체 결과 집계,phase2 result document,Phase 2 Goal 결과 문서 링크와 전체 테스트 통과 확인,docs/test-results/goals/G2Z-001_phase2_aggregate_unit_test_results.md,G2A-006; G2B-002; G2C-002; G2D-004; G2E-005; G2F-004; G2G-005,Phase 3 착수 가능,HIGH
G3A-001,Phase 3,EffectContract,ICardEffect contract 포팅,typed card effect 실행 계약 포팅,ICardEffect equivalent,resolve contract 테스트,docs/test-results/goals/G3A-001_icard_effect_contract_unit_test_results.md,G2Z-001,effect contract 테스트 통과,HIGH
G3A-002,Phase 3,EffectContract,SkillInfo 포팅,SkillInfo와 effect metadata 포팅,SkillInfo model,skill metadata 테스트,docs/test-results/goals/G3A-002_skill_info_unit_test_results.md,G3A-001,SkillInfo 테스트 통과,HIGH
G3B-001,Phase 3,EffectContext,Hashtable 제거 adapter 포팅,GetFromHashtable와 HashtableSetting typed 전환,typed context adapter,hashtable key replacement 테스트,docs/test-results/goals/G3B-001_hashtable_replacement_adapter_unit_test_results.md,G3A-002,Hashtable replacement 테스트 통과,HIGH
G3C-001,Phase 3,Conditions,Trigger condition helper 포팅,on play on digivolve when attacking 조건 helper,trigger condition helpers,trigger condition 테스트,docs/test-results/goals/G3C-001_trigger_condition_helpers_unit_test_results.md,G3B-001,trigger condition 테스트 통과,HIGH
G3C-002,Phase 3,Conditions,CanUseEffects helper 포팅,CanUseEffects 하위 condition 포팅,can use helpers,can use effect 테스트,docs/test-results/goals/G3C-002_can_use_effect_helpers_unit_test_results.md,G3C-001,CanUseEffects 테스트 통과,HIGH
G3D-001,Phase 3,Requirements,MinMax DP Cost Level helper 포팅,DP cost level min max 조건 포팅,min max helpers,min max 조건 테스트,docs/test-results/goals/G3D-001_minmax_dp_cost_level_unit_test_results.md,G3C-002,minmax 테스트 통과,HIGH
G3D-002,Phase 3,Requirements,Name color trait requirement 포팅,이름 색 특성 요구사항 포팅,requirement helpers,name color trait 테스트,docs/test-results/goals/G3D-002_name_color_trait_requirements_unit_test_results.md,G3D-001,requirement 테스트 통과,HIGH
G3E-001,Phase 3,Costs,Play cost helper 포팅,play cost와 cost modifier helper 포팅,play cost helper,play cost 테스트,docs/test-results/goals/G3E-001_play_cost_helper_unit_test_results.md,G3D-002,play cost 테스트 통과,HIGH
G3E-002,Phase 3,Costs,Digivolution cost helper 포팅,digivolution cost와 reduction helper 포팅,digivolution cost helper,digivolve cost 테스트,docs/test-results/goals/G3E-002_digivolution_cost_helper_unit_test_results.md,G3E-001,digivolution cost 테스트 통과,HIGH
G3F-001,Phase 3,Targeting,Target filtering helper 포팅,card permanent player target filtering 포팅,target filter helpers,target filtering 테스트,docs/test-results/goals/G3F-001_target_filtering_helpers_unit_test_results.md,G3D-002,target filtering 테스트 통과,HIGH
G3F-002,Phase 3,Targeting,Zone query helper 포팅,library trash security source zone query helper 포팅,zone query helpers,zone query 테스트,docs/test-results/goals/G3F-002_zone_query_helpers_unit_test_results.md,G3F-001,zone query 테스트 통과,HIGH
G3G-001,Phase 3,Keywords,Keyword base batch 1 포팅,blocker jamming reboot piercing base 구현,keyword base batch1,keyword base batch1 테스트,docs/test-results/goals/G3G-001_keyword_base_batch1_unit_test_results.md,G3F-002,keyword base1 테스트 통과,HIGH
G3G-002,Phase 3,Keywords,Keyword base batch 2 포팅,rush blitz retaliation armor purge base 구현,keyword base batch2,keyword base batch2 테스트,docs/test-results/goals/G3G-002_keyword_base_batch2_unit_test_results.md,G3G-001,keyword base2 테스트 통과,HIGH
G3H-001,Phase 3,Modifiers,DP cost security attack modifier helper 포팅,DP cost SAttack 변경 helper 포팅,modifier helpers,modifier 테스트,docs/test-results/goals/G3H-001_modifier_helpers_unit_test_results.md,G3E-002,modifier helper 테스트 통과,HIGH
G3H-002,Phase 3,Restrictions,Cannot restriction helper 포팅,cannot attack block delete return suspend 계열 포팅,restriction helpers,restriction 테스트,docs/test-results/goals/G3H-002_cannot_restriction_helpers_unit_test_results.md,G3H-001,restriction 테스트 통과,HIGH
G3I-001,Phase 3,Replacement,Replacement prevention helper 포팅,prevent redirect immune replacement 포팅,replacement helpers,replacement 테스트,docs/test-results/goals/G3I-001_replacement_prevention_helpers_unit_test_results.md,G3H-002,replacement 테스트 통과,HIGH
G3I-002,Phase 3,Continuous,Continuous effect evaluator 포팅,상시 효과 재평가 helper 포팅,continuous evaluator,continuous recalculation 테스트,docs/test-results/goals/G3I-002_continuous_effect_evaluator_unit_test_results.md,G3I-001,continuous 테스트 통과,HIGH
G3J-001,Phase 3,Factory,CardEffectFactory binding 포팅,card id trigger 기반 effect binding 포팅,CardEffectFactory binding,factory lookup 테스트,docs/test-results/goals/G3J-001_card_effect_factory_binding_unit_test_results.md,G3I-002,CardEffectFactory 테스트 통과,HIGH
G3J-002,Phase 3,Factory,PermanentEffectFactory binding 포팅,permanent effect binding 포팅,PermanentEffectFactory binding,permanent lookup 테스트,docs/test-results/goals/G3J-002_permanent_effect_factory_binding_unit_test_results.md,G3J-001,PermanentEffectFactory 테스트 통과,HIGH
G3K-001,Phase 3,Selection,Effect selection helper 포팅,effect 내부 선택 요청 helper 포팅,effect choice helpers,effect choice 테스트,docs/test-results/goals/G3K-001_effect_selection_helpers_unit_test_results.md,G3J-002; G1E-005,effect selection 테스트 통과,HIGH
G3K-002,Phase 3,Timing,Timing priority helper 포팅,turn player ordering optional mandatory priority 포팅,timing priority helpers,timing priority 테스트,docs/test-results/goals/G3K-002_timing_priority_helpers_unit_test_results.md,G3K-001,timing priority 테스트 통과,HIGH
G3L-001,Phase 3,Flags,Once per turn flag helper 포팅,turn-scoped flag와 reset helper 포팅,once flag helpers,once per turn 테스트,docs/test-results/goals/G3L-001_once_per_turn_flags_unit_test_results.md,G3K-002,once flag 테스트 통과,HIGH
G3L-002,Phase 3,Inherited,Inherited granted security helper 포팅,inherited granted security effect helper 포팅,inherited granted helpers,inherited granted security 테스트,docs/test-results/goals/G3L-002_inherited_granted_security_helpers_unit_test_results.md,G3L-001,inherited helper 테스트 통과,HIGH
G3Z-001,Phase 3,Gate,Phase 3 aggregate result,Phase 3 전체 결과 집계,phase3 result document,Phase 3 Goal 결과 문서 링크와 전체 테스트 통과 확인,docs/test-results/goals/G3Z-001_phase3_aggregate_unit_test_results.md,G3L-002,Phase 4 착수 가능,HIGH
G4A-001,Phase 4,CardPool,Card pool schema validation,대상 card pool schema 검증,card pool schema validation,required field 테스트,docs/test-results/goals/G4A-001_card_pool_schema_validation_unit_test_results.md,G3Z-001,card pool schema 테스트 통과,HIGH
G4A-002,Phase 4,CardPool,Effect binding coverage,card id별 effect binding coverage 검증,effect binding report,binding coverage 테스트,docs/test-results/goals/G4A-002_effect_binding_coverage_unit_test_results.md,G4A-001,effect binding coverage 테스트 통과,HIGH
G4A-003,Phase 4,CardPool,Missing behavior report,미구현 effect와 제외 사유 report 생성,missing behavior report,missing behavior report 테스트,docs/test-results/goals/G4A-003_missing_behavior_report_unit_test_results.md,G4A-002,missing behavior report 테스트 통과,HIGH
G4B-001,Phase 4,Keywords,Blocker Jamming Reboot Piercing 포팅,기본 전투 keyword 구현,keyword batch combat1,blocker jamming reboot piercing 테스트,docs/test-results/goals/G4B-001_keyword_combat_batch1_unit_test_results.md,G4A-002,combat keyword1 테스트 통과,HIGH
G4B-002,Phase 4,Keywords,Rush Blitz Retaliation ArmorPurge 포팅,추가 전투 keyword 구현,keyword batch combat2,rush blitz retaliation armor purge 테스트,docs/test-results/goals/G4B-002_keyword_combat_batch2_unit_test_results.md,G4B-001,combat keyword2 테스트 통과,HIGH
G4B-003,Phase 4,Keywords,Barrier Decoy Save MaterialSave 포팅,보호와 save keyword 구현,keyword batch protection,barrier decoy save material save 테스트,docs/test-results/goals/G4B-003_keyword_protection_batch_unit_test_results.md,G4B-002,protection keyword 테스트 통과,HIGH
G4B-004,Phase 4,Keywords,Alliance Raid Collision Partition 포팅,공격 변형 keyword 구현,keyword batch attack variants,alliance raid collision partition 테스트,docs/test-results/goals/G4B-004_keyword_attack_variant_batch_unit_test_results.md,G4B-003,attack variant keyword 테스트 통과,HIGH
G4B-005,Phase 4,Keywords,Overclock Decode Link 계열 포팅,신규 mechanic keyword 구현,keyword batch special,overclock decode link 테스트,docs/test-results/goals/G4B-005_keyword_special_batch_unit_test_results.md,G4B-004,special keyword 테스트 통과,HIGH
G4C-001,Phase 4,Triggers,OnPlay OnDigivolve trigger 포팅,on play on digivolve 효과 구현,trigger batch play digivolve,on play on digivolve 테스트,docs/test-results/goals/G4C-001_onplay_ondigivolve_triggers_unit_test_results.md,G4A-002,on play digivolve 테스트 통과,HIGH
G4C-002,Phase 4,Triggers,WhenAttacking EndAttack trigger 포팅,공격 관련 trigger 구현,trigger batch attack,when attacking end attack 테스트,docs/test-results/goals/G4C-002_attack_triggers_unit_test_results.md,G4C-001,attack trigger 테스트 통과,HIGH
