Goal ID,단계,영역,목표,짧은 Goal 프롬프트,상세 지시서,결과 문서,선행 Goal,완료 기준,프롬프트 글자 수
G1B-003,Phase 1 - Unity 대체 기반 구현,상태/존,ZoneState,"HeadlessDCGO.Engine Goal G1B-003만 수행하라.
목표: ZoneState
상세 지시서: docs/goal-specs/G1B-003_zonestate.md
선행 Goal: G1B-002
결과 문서: docs/test-results/goals/G1B-003_zone_state_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: zone state 테스트 통과",docs/goal-specs/G1B-003_zonestate.md,docs/test-results/goals/G1B-003_zone_state_unit_test_results.md,G1B-002,zone state 테스트 통과,343
G1B-004,Phase 1 - Unity 대체 기반 구현,상태/존,CardInstanceState,"HeadlessDCGO.Engine Goal G1B-004만 수행하라.
목표: CardInstanceState
상세 지시서: docs/goal-specs/G1B-004_cardinstancestate.md
선행 Goal: G1B-003
결과 문서: docs/test-results/goals/G1B-004_card_instance_state_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: card instance state 테스트 통과",docs/goal-specs/G1B-004_cardinstancestate.md,docs/test-results/goals/G1B-004_card_instance_state_unit_test_results.md,G1B-003,card instance state 테스트 통과,377
G1B-005,Phase 1 - Unity 대체 기반 구현,상태/존,ZoneMover,"HeadlessDCGO.Engine Goal G1B-005만 수행하라.
목표: ZoneMover
상세 지시서: docs/goal-specs/G1B-005_zonemover.md
선행 Goal: G1B-003; G1B-004
결과 문서: docs/test-results/goals/G1B-005_zone_mover_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: zone mover 테스트 통과",docs/goal-specs/G1B-005_zonemover.md,docs/test-results/goals/G1B-005_zone_mover_unit_test_results.md,G1B-003; G1B-004,zone mover 테스트 통과,352
G1B-006,Phase 1 - Unity 대체 기반 구현,상태/존,State snapshot fingerprint,"HeadlessDCGO.Engine Goal G1B-006만 수행하라.
목표: State snapshot fingerprint
상세 지시서: docs/goal-specs/G1B-006_state_snapshot_fingerprint.md
선행 Goal: G1B-005
결과 문서: docs/test-results/goals/G1B-006_state_snapshot_fingerprint_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: state 결정성 테스트 통과",docs/goal-specs/G1B-006_state_snapshot_fingerprint.md,docs/test-results/goals/G1B-006_state_snapshot_fingerprint_unit_test_results.md,G1B-005,state 결정성 테스트 통과,392
G1C-001,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,EngineContext,"HeadlessDCGO.Engine Goal G1C-001만 수행하라.
목표: EngineContext
상세 지시서: docs/goal-specs/G1C-001_enginecontext.md
선행 Goal: G1A-002
결과 문서: docs/test-results/goals/G1C-001_engine_context_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: EngineContext 테스트 통과",docs/goal-specs/G1C-001_enginecontext.md,docs/test-results/goals/G1C-001_engine_context_unit_test_results.md,G1A-002,EngineContext 테스트 통과,358
G1C-002,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,GManagerBridge,"HeadlessDCGO.Engine Goal G1C-002만 수행하라.
목표: GManagerBridge
상세 지시서: docs/goal-specs/G1C-002_gmanagerbridge.md
선행 Goal: G1C-001
결과 문서: docs/test-results/goals/G1C-002_gmanager_bridge_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: GManagerBridge 테스트 통과",docs/goal-specs/G1C-002_gmanagerbridge.md,docs/test-results/goals/G1C-002_gmanager_bridge_unit_test_results.md,G1C-001,GManagerBridge 테스트 통과,362
G1C-003,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,ContinuousContext,"HeadlessDCGO.Engine Goal G1C-003만 수행하라.
목표: ContinuousContext
상세 지시서: docs/goal-specs/G1C-003_continuouscontext.md
선행 Goal: G1C-001
결과 문서: docs/test-results/goals/G1C-003_continuous_context_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: ContinuousContext 테스트 통과",docs/goal-specs/G1C-003_continuouscontext.md,docs/test-results/goals/G1C-003_continuous_context_unit_test_results.md,G1C-001,ContinuousContext 테스트 통과,374
G1C-004,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,Unity-only exclusion policy,"HeadlessDCGO.Engine Goal G1C-004만 수행하라.
목표: Unity-only exclusion policy
상세 지시서: docs/goal-specs/G1C-004_unity_only_exclusion_policy.md
선행 Goal: G1C-002; G1C-003
결과 문서: docs/test-results/goals/G1C-004_unity_exclusion_policy_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Unity-only exclusion 테스트 통과",docs/goal-specs/G1C-004_unity_only_exclusion_policy.md,docs/test-results/goals/G1C-004_unity_exclusion_policy_unit_test_results.md,G1C-002; G1C-003,Unity-only exclusion 테스트 통과,410
G1D-001,Phase 1 - Unity 대체 기반 구현,코루틴 대체,EngineTask contract,"HeadlessDCGO.Engine Goal G1D-001만 수행하라.
목표: EngineTask contract
상세 지시서: docs/goal-specs/G1D-001_enginetask_contract.md
선행 Goal: G1A-002
결과 문서: docs/test-results/goals/G1D-001_engine_task_contract_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: EngineTask 계약 테스트 통과",docs/goal-specs/G1D-001_enginetask_contract.md,docs/test-results/goals/G1D-001_engine_task_contract_unit_test_results.md,G1A-002,EngineTask 계약 테스트 통과,376
G1D-002,Phase 1 - Unity 대체 기반 구현,코루틴 대체,WaitCondition,"HeadlessDCGO.Engine Goal G1D-002만 수행하라.
목표: WaitCondition
상세 지시서: docs/goal-specs/G1D-002_waitcondition.md
선행 Goal: G1D-001
결과 문서: docs/test-results/goals/G1D-002_wait_condition_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: wait condition 테스트 통과",docs/goal-specs/G1D-002_waitcondition.md,docs/test-results/goals/G1D-002_wait_condition_unit_test_results.md,G1D-001,wait condition 테스트 통과,359
G1D-003,Phase 1 - Unity 대체 기반 구현,코루틴 대체,CoroutineAdapter,"HeadlessDCGO.Engine Goal G1D-003만 수행하라.
목표: CoroutineAdapter
상세 지시서: docs/goal-specs/G1D-003_coroutineadapter.md
선행 Goal: G1D-002
결과 문서: docs/test-results/goals/G1D-003_coroutine_adapter_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: CoroutineAdapter 테스트 통과",docs/goal-specs/G1D-003_coroutineadapter.md,docs/test-results/goals/G1D-003_coroutine_adapter_unit_test_results.md,G1D-002,CoroutineAdapter 테스트 통과,370
G1D-004,Phase 1 - Unity 대체 기반 구현,코루틴 대체,TaskRunner 안정화,"HeadlessDCGO.Engine Goal G1D-004만 수행하라.
목표: TaskRunner 안정화
상세 지시서: docs/goal-specs/G1D-004_taskrunner_안정화.md
선행 Goal: G1D-003
결과 문서: docs/test-results/goals/G1D-004_task_runner_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: TaskRunner 테스트 통과",docs/goal-specs/G1D-004_taskrunner_안정화.md,docs/test-results/goals/G1D-004_task_runner_unit_test_results.md,G1D-003,TaskRunner 테스트 통과,354
G1E-001,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,Choice schema,"HeadlessDCGO.Engine Goal G1E-001만 수행하라.
목표: Choice schema
상세 지시서: docs/goal-specs/G1E-001_choice_schema.md
선행 Goal: G1A-003
결과 문서: docs/test-results/goals/G1E-001_choice_schema_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Choice 스키마 테스트 통과",docs/goal-specs/G1E-001_choice_schema.md,docs/test-results/goals/G1E-001_choice_schema_unit_test_results.md,G1A-003,Choice 스키마 테스트 통과,354
G1E-002,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,ChoiceResult validation,"HeadlessDCGO.Engine Goal G1E-002만 수행하라.
목표: ChoiceResult validation
상세 지시서: docs/goal-specs/G1E-002_choiceresult_validation.md
선행 Goal: G1E-001
결과 문서: docs/test-results/goals/G1E-002_choice_result_validation_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: ChoiceResult 테스트 통과",docs/goal-specs/G1E-002_choiceresult_validation.md,docs/test-results/goals/G1E-002_choice_result_validation_unit_test_results.md,G1E-001,ChoiceResult 테스트 통과,387
G1E-003,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,ScriptedChoiceProvider,"HeadlessDCGO.Engine Goal G1E-003만 수행하라.
목표: ScriptedChoiceProvider
상세 지시서: docs/goal-specs/G1E-003_scriptedchoiceprovider.md
선행 Goal: G1E-002
결과 문서: docs/test-results/goals/G1E-003_scripted_choice_provider_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Scripted provider 테스트 통과",docs/goal-specs/G1E-003_scriptedchoiceprovider.md,docs/test-results/goals/G1E-003_scripted_choice_provider_unit_test_results.md,G1E-002,Scripted provider 테스트 통과,390
G1E-004,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,PolicyChoiceProvider,"HeadlessDCGO.Engine Goal G1E-004만 수행하라.
목표: PolicyChoiceProvider
상세 지시서: docs/goal-specs/G1E-004_policychoiceprovider.md
선행 Goal: G1E-002
결과 문서: docs/test-results/goals/G1E-004_policy_choice_provider_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Policy provider 테스트 통과",docs/goal-specs/G1E-004_policychoiceprovider.md,docs/test-results/goals/G1E-004_policy_choice_provider_unit_test_results.md,G1E-002,Policy provider 테스트 통과,382
G1E-005,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,Choice pause resume contract,"HeadlessDCGO.Engine Goal G1E-005만 수행하라.
목표: Choice pause resume contract
상세 지시서: docs/goal-specs/G1E-005_choice_pause_resume_contract.md
선행 Goal: G1E-003; G1E-004
결과 문서: docs/test-results/goals/G1E-005_choice_pause_resume_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: choice pause resume 테스트 통과",docs/goal-specs/G1E-005_choice_pause_resume_contract.md,docs/test-results/goals/G1E-005_choice_pause_resume_unit_test_results.md,G1E-003; G1E-004,choice pause resume 테스트 통과,408
G1F-001,Phase 1 - Unity 대체 기반 구현,효과 처리,Effect request context schema,"HeadlessDCGO.Engine Goal G1F-001만 수행하라.
목표: Effect request context schema
상세 지시서: docs/goal-specs/G1F-001_effect_request_context_schema.md
선행 Goal: G1B-001; G1E-001
결과 문서: docs/test-results/goals/G1F-001_effect_context_schema_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Effect context 테스트 통과",docs/goal-specs/G1F-001_effect_request_context_schema.md,docs/test-results/goals/G1F-001_effect_context_schema_unit_test_results.md,G1B-001; G1E-001,Effect context 테스트 통과,407
G1F-002,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectResolutionQueue,"HeadlessDCGO.Engine Goal G1F-002만 수행하라.
목표: EffectResolutionQueue
상세 지시서: docs/goal-specs/G1F-002_effectresolutionqueue.md
선행 Goal: G1F-001
결과 문서: docs/test-results/goals/G1F-002_effect_resolution_queue_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Effect queue 테스트 통과",docs/goal-specs/G1F-002_effectresolutionqueue.md,docs/test-results/goals/G1F-002_effect_resolution_queue_unit_test_results.md,G1F-001,Effect queue 테스트 통과,382
G1F-003,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectScheduler,"HeadlessDCGO.Engine Goal G1F-003만 수행하라.
목표: EffectScheduler
상세 지시서: docs/goal-specs/G1F-003_effectscheduler.md
선행 Goal: G1F-002; G1E-005
결과 문서: docs/test-results/goals/G1F-003_effect_scheduler_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: EffectScheduler 테스트 통과",docs/goal-specs/G1F-003_effectscheduler.md,docs/test-results/goals/G1F-003_effect_scheduler_unit_test_results.md,G1F-002; G1E-005,EffectScheduler 테스트 통과,375
G1F-004,Phase 1 - Unity 대체 기반 구현,효과 처리,TimingWindowResolver contract,"HeadlessDCGO.Engine Goal G1F-004만 수행하라.
목표: TimingWindowResolver contract
상세 지시서: docs/goal-specs/G1F-004_timingwindowresolver_contract.md
선행 Goal: G1F-003
결과 문서: docs/test-results/goals/G1F-004_timing_window_contract_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Timing 계약 테스트 통과",docs/goal-specs/G1F-004_timingwindowresolver_contract.md,docs/test-results/goals/G1F-004_timing_window_contract_unit_test_results.md,G1F-003,Timing 계약 테스트 통과,394
G1F-005,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectRegistry contract,"HeadlessDCGO.Engine Goal G1F-005만 수행하라.
목표: EffectRegistry contract
상세 지시서: docs/goal-specs/G1F-005_effectregistry_contract.md
선행 Goal: G1F-001
결과 문서: docs/test-results/goals/G1F-005_effect_registry_contract_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: EffectRegistry 계약 테스트 통과",docs/goal-specs/G1F-005_effectregistry_contract.md,docs/test-results/goals/G1F-005_effect_registry_contract_unit_test_results.md,G1F-001,EffectRegistry 계약 테스트 통과,392
G1F-006,Phase 1 - Unity 대체 기반 구현,효과 처리,Continuous Replacement query contract,"HeadlessDCGO.Engine Goal G1F-006만 수행하라.
목표: Continuous Replacement query contract
상세 지시서: docs/goal-specs/G1F-006_continuous_replacement_query_contract.md
선행 Goal: G1F-005
결과 문서: docs/test-results/goals/G1F-006_continuous_replacement_query_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: Effect query 계약 테스트 통과",docs/goal-specs/G1F-006_continuous_replacement_query_contract.md,docs/test-results/goals/G1F-006_continuous_replacement_query_unit_test_results.md,G1F-005,Effect query 계약 테스트 통과,422
G1G-001,Phase 1 - Unity 대체 기반 구현,세션/네트워크 대체,Player session model,"HeadlessDCGO.Engine Goal G1G-001만 수행하라.
목표: Player session model
상세 지시서: docs/goal-specs/G1G-001_player_session_model.md
선행 Goal: G1B-001
결과 문서: docs/test-results/goals/G1G-001_player_session_model_unit_test_results.md

규칙:
- 먼저 상세 지시서를 읽고 그 범위만 수행하라.
- 원본 DCGO/Assets 파일은 수정하지 말라.
- Goal 밖 작업과 다음 Phase 선행 작업을 하지 말라.
- 단위테스트와 결과 문서 없이는 완료로 말하지 말라.
- 완료 기준: session 모델 테스트 통과",docs/goal-specs/G1G-001_player_session_model.md,docs/test-results/goals/G1G-001_player_session_model_unit_test_results.md,G1B-001,session 모델 테스트 통과,375
