section,path,item_type,source_path,decision_basis,category,priority,purpose,porting_notes
Effect Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs,File,Assets/Scripts/Script/CardEffectCommons.cs,PORT,CardEffect,HIGH,Shared effect helper methods,"Large extraction target; remove singleton access."
Effect Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory.cs,File,Assets/Scripts/Script/CardEffectFactory.cs,PORT,CardEffect,HIGH,Shared effect factory methods,"Port after scheduler and common predicates."
Effect Runtime,src/HeadlessDCGO.Engine/Assets/Scripts/Script/PermanentEffectFactory.cs,File,Assets/Scripts/Script/PermanentEffectFactory.cs,PORT,CardEffect,HIGH,Permanent effect factory methods,"Port after permanent/effect model."
Per-card Effects,src/HeadlessDCGO.Engine/Assets/Scripts/CardEffect/**/*.cs,Files,Assets/Scripts/CardEffect/**/*.cs,PORT,CardEffect,HIGH,Per-card rule implementations,"Batch-port after core effect runtime; preserve set/color folders."
Selection,src/HeadlessDCGO.Engine/Assets/Scripts/Script/PlayerSelection/IPlayerSelection.cs,File,Assets/Scripts/Script/PlayerSelection/IPlayerSelection.cs,PORT,AIUseful,MEDIUM,Selection marker/model,"Use for policy/action selection."
Selection,src/HeadlessDCGO.Engine/Assets/Scripts/Script/PlayerSelection/CardSelection.cs,File,Assets/Scripts/Script/PlayerSelection/CardSelection.cs,PORT,AIUseful,MEDIUM,Card selection data,"Convert UI selection to action choice."
Selection,src/HeadlessDCGO.Engine/Assets/Scripts/Script/PlayerSelection/PermanentSelection.cs,File,Assets/Scripts/Script/PlayerSelection/PermanentSelection.cs,PORT,AIUseful,MEDIUM,Permanent selection data,"Convert UI selection to action choice."
Selection,src/HeadlessDCGO.Engine/Assets/Scripts/Script/PlayerSelection/ValueSelection.cs,File,Assets/Scripts/Script/PlayerSelection/ValueSelection.cs,PORT,AIUseful,MEDIUM,Numeric/value selection data,"Convert UI selection to action choice."
Data Tools,src/HeadlessDCGO.Engine/Assets/Scripts/Script/DataTools/FilterCardList.cs,File,Assets/Scripts/Script/FilterCardList.cs,PORT,DataLoader,MEDIUM,Card filter predicate construction,"Replace InputField/Dropdown/Toggle with plain FilterCriteria record."
Data Tools,src/HeadlessDCGO.Engine/Assets/Scripts/Script/DataTools/GameplayOption.cs,File,Assets/Scripts/Script/GameplayOption.cs,PORT,AIUseful,MEDIUM,Simulation-relevant option flags,"Keep autoEffectOrder, deck order, auto hatch, banlist usage; discard UI panel."
Tools,src/HeadlessDCGO.Engine.Tools/AssetConversion/CardAssetConverter.cs,Planned File,Assets/CardBaseEntity/**/*.asset,USE,CardData,HIGH,Convert Unity YAML card assets to engine JSON,"Read .asset fields and emit mirrored .json files."
Tools,src/HeadlessDCGO.Engine.Tools/Diagnostics/ClassificationReportReader.cs,Planned File,docs/dotnet_source_classification.csv,USE,DataLoader,LOW,Read classification CSV for audits,"Optional utility for verifying port progress."
Simulator,src/HeadlessDCGO.Simulator/Program.cs,Planned File,,PORT,AIUseful,MEDIUM,Run local headless matches,"CLI entry point for smoke tests and scenario runs."
Simulator,src/HeadlessDCGO.Simulator/Scenarios,Directory,,PORT,AIUseful,MEDIUM,Scenario definitions,"Small deterministic fixtures for cards/effects."
RL,src/HeadlessDCGO.RL/Environment/DcgoEnvironment.cs,Planned File,,PORT,AIUseful,MEDIUM,RL environment wrapper,"Calls DcgoMatch.Step and exposes terminal state."
RL,src/HeadlessDCGO.RL/Observation/ObservationEncoder.cs,Planned File,,PORT,AIUseful,MEDIUM,Observation encoding,"Convert GameContext to model input."
RL,src/HeadlessDCGO.RL/Observation/ActionMaskEncoder.cs,Planned File,,PORT,AIUseful,MEDIUM,Legal action mask encoding,"Uses LegalActionGenerator from engine."
RL,src/HeadlessDCGO.RL/Reward/RewardModel.cs,Planned File,,PORT,AIUseful,MEDIUM,Reward calculation,"Keep outside core rules."
RL,src/HeadlessDCGO.RL/SelfPlay/SelfPlayRunner.cs,Planned File,,PORT,AIUseful,MEDIUM,Self-play loop,"Runs episodes using policies."
Tests,tests/HeadlessDCGO.Engine.Tests/Assets,Directory,Assets/CardBaseEntity/**/*.asset,USE,CardData,HIGH,Card data conversion tests,"Verify converted JSON equals important Unity source fields."
Tests,tests/HeadlessDCGO.Engine.Tests/Rules,Directory,"TurnStateMachine.cs; DeckBuildingRule.cs; GameRandom.cs",USE/PORT,CoreRule,HIGH,Core rule tests,"Phase flow, deck legality, deterministic randomness."
Tests,tests/HeadlessDCGO.Engine.Tests/Effects,Directory,"ICardEffect.cs; CardEffect/**/*.cs",PORT,CardEffect,HIGH,Effect behavior tests,"Port card effects with scenario tests."
Tests,tests/HeadlessDCGO.Engine.Tests/Simulations,Directory,,PORT,AIUseful,MEDIUM,End-to-end simulation tests,"Initialize decks, step turns, assert terminal results."
Do Not Copy,src/HeadlessDCGO.Engine/Assets/**/*.meta,Excluded,Assets/**/*.meta,IGNORE,AssetOnly,NONE,Unity metadata,"Do not include in engine."
Do Not Copy,src/HeadlessDCGO.Engine/Assets/Scenes,Excluded,Assets/**/*.unity,IGNORE,Scene,NONE,Unity scenes,"Headless engine has no scenes."
Do Not Copy,src/HeadlessDCGO.Engine/Assets/Prefabs,Excluded,Assets/**/*.prefab,IGNORE,AssetOnly,NONE,Unity prefabs,"Visual/client-only."
Do Not Copy,src/HeadlessDCGO.Engine/Assets/Animation,Excluded,Assets/**/*.anim,IGNORE,Animation,NONE,Animations,"Visual/client-only."
Do Not Copy,src/HeadlessDCGO.Engine/Assets/Audio,Excluded,"Assets/**/*.mp3; Assets/**/*.wav; Assets/**/*.ogg",IGNORE,Sound,NONE,Sound assets,"Client-only."
Do Not Copy,src/HeadlessDCGO.Engine/Assets/Photon,Excluded,Assets/Photon/**,IGNORE,Network,NONE,Photon client networking,"Replace remote/network actions with local command objects."
Do Not Copy,src/HeadlessDCGO.Engine/Library,Excluded,Library/**,IGNORE,EditorOnly,NONE,Unity cache,"Never port."
Do Not Copy,src/HeadlessDCGO.Engine/Temp,Excluded,Temp/**,IGNORE,EditorOnly,NONE,Unity temp files,"Never port."
