headless_path,headless_area,purpose,asis_source_paths,asis_dependency,porting_notes
src/HeadlessDCGO.Engine/Headless/Choices/IChoiceProvider.cs,Choices,Choice provider interface for AI/RL/scripted decisions,DCGO/Assets/Scripts/Script/SelectCardEffect.cs; DCGO/Assets/Scripts/Script/SelectPermanentEffect.cs; DCGO/Assets/Scripts/Script/SelectCountEffect.cs; DCGO/Assets/Scripts/Script/UserSelectionManager.cs,Activate(); WaitForEndSelect(); OnClick; EndSelect_RPC,Replaces UI waits and click handlers with deterministic choice supply.
src/HeadlessDCGO.Engine/Headless/Choices/PolicyChoiceProvider.cs,Choices,Future AI/RL policy adapter,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,QueueMainPhaseAction; IPlayerSelection queue; IsAI flags,Will connect observations/legal actions to policy output.
src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs,Choices,Deterministic scripted choice adapter for tests,DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs,QueuePlayerSelection; DequeuePlayerSelection; QueueMainPhaseAction,Useful for parity tests and replaying AS-IS-like flows.
src/HeadlessDCGO.Engine/Headless/Coroutines/CoroutineAdapter.cs,Coroutines,Adapter for migrated IEnumerator flows,DCGO/Assets/Scripts/Script/CardController.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/AttackProcess.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs,IEnumerator methods; yield return StartCoroutine,Temporary bridge while converting coroutine-heavy logic to deterministic steps.
src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs,Coroutines,Unity StartCoroutine replacement,DCGO/Assets/Scripts/Script/GManager.cs; DCGO/Assets/Scripts/Script/ContinuousController.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs,StartCoroutine; StopAllCoroutines; ContinuousController.instance.StartCoroutine,Provides run/step/run-until-idle semantics for headless progression.
src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs,Coroutines,Unity YieldInstruction replacement,DCGO/Assets/Scripts/Script/GManager.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/SelectCardPanel.cs,WaitForSeconds; WaitWhile; WaitUntil,Convert waits into deterministic scheduler conditions.
src/HeadlessDCGO.Engine/Headless/Coroutines/IEngineTask.cs,Coroutines,Headless scheduled task contract,DCGO/Assets/Scripts/Script/CardController.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/AttackProcess.cs,IEnumerator action/effect classes,Used as Unity-free execution unit for migrated flows.
src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs,DataLoading,Banlist/legality data loader placeholder,DCGO/Assets/Scripts/Script/ContinuousController.cs; DCGO/Assets/Scripts/Script/GameplayOption.cs,useBanlist option; saved gameplay options,Move legality config from Unity/player prefs style loading to .NET data loading.
src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs,DataLoading,Converted CardBaseEntity JSON loader,DCGO/Assets/CardBaseEntity; DCGO/Assets/Scripts/Script/CardObjectController.cs,CardBaseEntity .asset files; CreateCardSource(CEntity_Base),Loads converted card data without Unity assets/resources.
src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs,DataLoading,Queryable card definition database,DCGO/Assets/CardBaseEntity; DCGO/Assets/Scripts/Script/CardObjectController.cs; DCGO/Assets/Scripts/Script/CardEffectFactory.cs,CEntity_Base definitions; CardSource creation; card effect factory lookup,Central source for card definitions in headless simulations.
src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs,DataLoading,Deck list loader placeholder,DCGO/Assets/Scripts/Script/ContinuousController.cs; DCGO/Assets/Scripts/Script/FilterCardList.cs,DeckDatas; LoadDeckLists; CreateDeckFromFile; FilterCardList,Move deck loading away from Unity persistence and UI filtering.
src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs,Diagnostics,Trace collector for deterministic simulation,DCGO/Assets/Scripts/Script/PlayLog.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs,PlayLog.OnAddLog; Debug.Log; effect/turn process logs,Use for parity tests and RL debugging instead of UI log.
src/HeadlessDCGO.Engine/Headless/Diagnostics/ITraceSink.cs,Diagnostics,Trace sink abstraction,DCGO/Assets/Scripts/Script/PlayLog.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs,PlayLog.OnAddLog; Debug.Log; runtime trace hooks,Allows trace collection or no-op sinks without UI logging.
src/HeadlessDCGO.Engine/Headless/Diagnostics/NullTraceSink.cs,Diagnostics,No-op trace sink,DCGO/Assets/Scripts/Script/PlayLog.cs; DCGO/Assets/Scripts/Script/GManager.cs,PlayLog/UI log optional output,Used when simulations do not need trace output.
src/HeadlessDCGO.Engine/Headless/Diagnostics/TraceEvent.cs,Diagnostics,One headless trace event,DCGO/Assets/Scripts/Script/PlayLog.cs; DCGO/Assets/Scripts/Script/CardController.cs; DCGO/Assets/Scripts/Script/AttackProcess.cs,play/evolution/battle/security logs,Structured replacement for textual UI log entries.
src/HeadlessDCGO.Engine/Headless/Diagnostics/TraceOptions.cs,Diagnostics,Trace filtering/config placeholder,DCGO/Assets/Scripts/Script/ContinuousController.cs; DCGO/Assets/Scripts/Script/GManager.cs,debug options; display/log preferences,Controls which engine events are emitted during tests/simulations.
src/HeadlessDCGO.Engine/Headless/Effects/EffectContext.cs,Effects,Typed effect context replacing Hashtable payloads,DCGO/Assets/Scripts/Script/CardController.cs; DCGO/Assets/Scripts/Script/CardEffectCommons.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs,ExitGames Hashtable effect payloads; CardEffectCommons hashtable builders,Gradually replace string-keyed hashtable context with typed context.
src/HeadlessDCGO.Engine/Headless/Effects/EffectRequest.cs,Effects,One effect activation request,DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/MultipleSkills.cs; DCGO/Assets/Scripts/Script/CardEffectFactory.cs,SkillInfo; StackSkillInfos; ActivateEffectProcess,Wraps queued effect id/controller/timing/context without Photon Hashtable.
src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionMode.cs,Effects,Effect queue mode enum,DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/MultipleSkills.cs,main stack; cut-in; background effects; RuleProcess,Separates AutoProcessing flows for deterministic resolution.
src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs,Effects,Pending effect queue,DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/MultipleSkills.cs,StackedSkillInfos; PutStackedSkill; ActivateMultipleSkills,Replaces list-based UI/coroutine effect stack management.
src/HeadlessDCGO.Engine/Headless/Effects/EffectResult.cs,Effects,Result of resolving one effect,DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/CardController.cs,ActivateEffectProcess; Card effect coroutine outcomes,Placeholder for success/log/events produced by effect resolution.
src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs,Effects,AutoProcessing/effect coroutine replacement,DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/MultipleSkills.cs; DCGO/Assets/Scripts/Script/CardController.cs,AutoProcessCheck; RuleProcess; TriggeredSkillProcess; StackSkillInfos; ActivateBackgroundEffects,Main target for porting effect stack and trigger processing.
src/HeadlessDCGO.Engine/Headless/Effects/PendingEffect.cs,Effects,Queued effect item,DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/MultipleSkills.cs,SkillInfo entries waiting in StackedSkillInfos,Transition model before SkillInfo is fully ported.
src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs,Runtime,Top-level headless match facade,DCGO/Assets/Scripts/Script/GManager.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/GameContext.cs,GManager.Init; TurnStateMachine.Init/GameStateMachine; GameContext state; EndGame result,Public entry point for initialize/reset/step/apply-action/result and terminal MatchResult synchronization.
src/HeadlessDCGO.Engine/Headless/Runtime/ActionProcessResult.cs,Runtime,Action processing result placeholder,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/CardController.cs,MainPhaseAction execution result; action side effects; state transition outcome,Represents success/message/metadata until concrete action handlers are ported.
src/HeadlessDCGO.Engine/Headless/Runtime/ActionMask.cs,Runtime,RL-facing legal action mask placeholder,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,main phase legal actions; command availability; QueueMainPhaseAction,Represents legal actions before compact tensor mask encoding is defined.
src/HeadlessDCGO.Engine/Headless/Runtime/ActionEncoder.cs,Runtime,Deterministic action type slot encoder for legal action masks,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,main phase legal action encoding; command availability; policy action selection,Converts ActionMask values into stable action slots and numeric mask vectors.
src/HeadlessDCGO.Engine/Headless/Runtime/GameEvent.cs,Runtime,Runtime event payload placeholder,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs,phase changes; card moves; effect queue/resolution,Will be emitted instead of UI callbacks/log-only side effects.
src/HeadlessDCGO.Engine/Headless/Runtime/GameEventType.cs,Runtime,Runtime event categories,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs,state changed; card moved; effect resolved; choice requested; game ended,Used for trace/observation/event bus integration.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionQueue.cs,Runtime,Headless action queue for ApplyAction/Step flow,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,QueueMainPhaseAction; DequeueMainPhaseAction; MainPhaseAction queue,Queues LegalAction values until HeadlessGameLoop consumes them.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs,Runtime,Typed factory helpers for headless LegalAction values,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,MainPhaseAction construction; QueueMainPhaseAction,Prevents callers from hand-writing metadata dictionaries during headless tests/porting.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionPayloads.cs,Runtime,Typed payload records for metadata-driven headless actions,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs,MainPhaseAction payloads; terminal result parameters; zone movement parameters; effect enqueue parameters,Transitional typed payload layer before final domain action records are ported.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionParameterKeys.cs,Runtime,Shared action metadata keys,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs,action payload fields; zone movement parameters; effect queue parameters,Keeps MetadataActionProcessor and HeadlessActionFactory aligned.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionTypes.cs,Runtime,Shared headless action type identifiers,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,MainPhaseAction types; command action labels,Centralizes action type strings until typed action records replace them.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessGameLoop.cs,Runtime,Turn/phase/action loop without Unity Update/coroutines,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/AttackProcess.cs,GameStateMachine; SetMainPhase; EndPhase; AutoProcessCheck; Attack process,Core replacement for Unity-driven gameplay progression.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessRlEnvironment.cs,Runtime,RL-facing environment facade around DcgoMatch,DCGO/Assets/Scripts/Script/GManager.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/GameContext.cs,initialize/reset/step loop; observation/action mask surfaces; AI simulation loop,Provides initialize/reset/observe/step APIs returning encoded RL state.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessScenarioRunner.cs,Runtime,Deterministic scenario and episode runner for headless smoke tests,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs,scripted action sequences; episode stepping; terminal stop behavior,Provides reusable scenario execution around HeadlessRlEnvironment before a separate test harness exists.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessScenarioVerifier.cs,Runtime,Scenario expectation verifier for headless smoke results,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs,episode assertions; terminal result checks; reward/discount checks,Provides reusable pass/failure details before executable test infrastructure exists.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessSmokeScenarios.cs,Runtime,Reusable smoke scenarios for terminal and reward-path checks,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,terminal win/draw setup; deterministic two-player config; reward perspective setup,Provides small scripted scenarios for later executable tests without requiring full rule porting.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessSmokeSuite.cs,Runtime,Default smoke suite combining scenarios runner and verifier,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs,smoke suite cases; scenario execution; verification aggregation,Provides one reusable entry point for default headless smoke checks before executable tests exist.
src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessSmokeSuiteReport.cs,Runtime,Smoke suite report and summary formatter,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs,smoke suite output; pass/fail summary; verification failure details,Provides human-readable and test-friendly smoke suite summaries before CLI/test runner output exists.
src/HeadlessDCGO.Engine/Headless/Runtime/IActionProcessor.cs,Runtime,Action-to-state-transition processor contract,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/CardController.cs; DCGO/Assets/Scripts/Script/Player.cs,SetPlayCard; SetActSkill; SetAttackingPermaent; MainPhaseAction processing,Allows later concrete AS-IS action handlers to plug into HeadlessGameLoop.
src/HeadlessDCGO.Engine/Headless/Runtime/MatchConfig.cs,Runtime,Match setup/config placeholder,DCGO/Assets/Scripts/Script/ContinuousController.cs; DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs,deck data; random seed; player setup; AI flags,Use for deterministic setup instead of scene/player prefs/network state.
src/HeadlessDCGO.Engine/Headless/Runtime/MatchResult.cs,Runtime,Final result placeholder,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,EndGame; Surrender; SetLose; winner/loser state,Replaces result UI and Photon cleanup flow.
src/HeadlessDCGO.Engine/Headless/Runtime/MetadataActionProcessor.cs,Runtime,Metadata-driven concrete headless action processor,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs,MainPhaseAction execution; card zone movement; terminal checks; effect queueing,Provides low-risk actions before typed AS-IS action handlers are ported.
src/HeadlessDCGO.Engine/Headless/Runtime/NoOpActionProcessor.cs,Runtime,No-op action processor for infrastructure testing,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,MainPhaseAction placeholder execution,Provides successful no-op results before real deterministic action handlers exist.
src/HeadlessDCGO.Engine/Headless/Runtime/ObservationEncoder.cs,Runtime,Deterministic feature/vector encoder for typed observations,DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs,RL observation encoding; player zone counts; terminal/runtime flags,Converts typed ObservationSnapshot values into stable feature names and numeric vectors.
src/HeadlessDCGO.Engine/Headless/Runtime/ObservationSnapshot.cs,Runtime,RL-facing typed observation snapshot,DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs,GameContext state; player zones; field/security/hand counts,Provides player/zone/card-count snapshots before final tensor encoding is implemented.
src/HeadlessDCGO.Engine/Headless/Runtime/RlRewardCalculator.cs,Runtime,Terminal reward and discount calculator for RL step results,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,end game result; winner/draw/surrender state; training reward,Calculates configurable terminal reward/discount from MatchResult without implementing win/loss rules.
src/HeadlessDCGO.Engine/Headless/Runtime/RlStepResult.cs,Runtime,Encoded RL step result model,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs,state advancement result; observation vector; action mask vector; reward/discount; terminal result,Bundles encoded observation action mask events reward discount and optional terminal result for training loops.
src/HeadlessDCGO.Engine/Headless/Runtime/StepResult.cs,Runtime,One step outcome for RL loop,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/UserSelectionManager.cs,state advancement; pending choices; emitted events,Main return type for deterministic stepping and action-mask loops.
src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs,Services,Deterministic random implementation placeholder,DCGO/Assets/Scripts/Script/ContinuousController.cs; DCGO/Assets/Scripts/Script/GameRandom.cs,SetRandom; ShuffledDeckCards; IsSucceedProbability; GameRandom,Keep deterministic random behavior while removing ContinuousController singleton.
src/HeadlessDCGO.Engine/Headless/Services/CardRecord.cs,Services,Headless card definition placeholder,DCGO/Assets/CardBaseEntity; DCGO/Assets/Scripts/Script/CardSource.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs,CEntity_Base; CardID; CreateCardSource,Provides a minimal card record before full CardBaseEntity parsing is ported.
src/HeadlessDCGO.Engine/Headless/Services/HeadlessEntityId.cs,Services,Stable id placeholder for cards/permanents/effects/actions,DCGO/Assets/Scripts/Script/CardSource.cs; DCGO/Assets/Scripts/Script/Permanent.cs; DCGO/Assets/Scripts/Script/CardController.cs,CardID; permanent/frame references; effect source cards,Temporary id until source domain types are fully ported.
src/HeadlessDCGO.Engine/Headless/Services/HeadlessPlayerId.cs,Services,Stable player id placeholder,DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/GameContext.cs,PlayerID; PlayerFromID; SetPlayerID,Temporary id until Player is Unity-free.
src/HeadlessDCGO.Engine/Headless/Services/ICardRepository.cs,Services,Card lookup repository placeholder,DCGO/Assets/CardBaseEntity; DCGO/Assets/Scripts/Script/CardObjectController.cs; DCGO/Assets/Scripts/Script/CardEffectFactory.cs,CEntity_Base lookup; CreateCardSource; effect factory lookup,Will expose card definitions and instantiated card metadata.
src/HeadlessDCGO.Engine/Headless/Services/IHeadlessMatchStateResettable.cs,Services,Match-state reset contract for reusable headless services,DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs,match reset lifecycle; player zones; legal action state; terminal state,Allows EngineContext to reset match-scoped in-memory state across episodes without clearing definition data.
src/HeadlessDCGO.Engine/Headless/Services/IEffectQueryService.cs,Services,Effect lookup/query service placeholder,DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/CardEffectCommons.cs; DCGO/Assets/Scripts/Script/CardEffectFactory.cs,EffectList; PermanentEffects; GetCardEffectFromHashtable,Will centralize applicable effect/modifier queries.
src/HeadlessDCGO.Engine/Headless/Services/ILogSink.cs,Services,Debug/PlayLog replacement,DCGO/Assets/Scripts/Script/PlayLog.cs; DCGO/Assets/Scripts/Script/CardController.cs; DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,PlayLog.OnAddLog; Debug.Log; Debug.LogWarning,Captures non-visual logs for traces/tests.
src/HeadlessDCGO.Engine/Headless/Services/InMemoryCardRepository.cs,Services,In-memory card repository for early headless tests,DCGO/Assets/CardBaseEntity; DCGO/Assets/Scripts/Script/CardObjectController.cs,CEntity_Base lookup; CreateCardSource,Provides deterministic storage before final card database loading is implemented.
src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs,Services,In-memory effect query service,DCGO/Assets/Scripts/Script/AutoProcessing.cs; DCGO/Assets/Scripts/Script/CardEffectFactory.cs,SkillInfo/effect discovery; CardEffectFactory,Provides deterministic effect request lookup before AS-IS effect discovery is ported.
src/HeadlessDCGO.Engine/Headless/Services/InMemoryRuleQueryService.cs,Services,In-memory legal action and terminal query service,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,QueueMainPhaseAction; CanHatch; CanMove; endGame,Provides a deterministic legal-action test harness before real rules are ported.
src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs,Services,In-memory zone movement implementation,DCGO/Assets/Scripts/Script/CardObjectController.cs; DCGO/Assets/Scripts/Script/Player.cs,AddHandCard; AddTrashCard; AddSecurityCard; AddLibraryTopCards; Shuffle,Provides testable zone mutation without GameObject/Transform.
src/HeadlessDCGO.Engine/Headless/Services/IRandomSource.cs,Services,Random abstraction,DCGO/Assets/Scripts/Script/ContinuousController.cs; DCGO/Assets/Scripts/Script/GameRandom.cs,Random seed; probability; shuffle,All simulations should use this rather than Unity/ContinuousController random state.
src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs,Services,Legal action/rule query placeholder,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/CardEffectCommons.cs,CanHatch; CanMove; CanPayCost; main phase commands; terminal state,Used by RL legal action generation and deterministic rule checks.
src/HeadlessDCGO.Engine/Headless/Services/ITerminalStateController.cs,Services,Terminal state mutation interface for headless tests,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,endGame; EndGame; SetLose,Allows action processors to toggle terminal state without depending on concrete rule services.
src/HeadlessDCGO.Engine/Headless/Services/IZoneMover.cs,Services,Card zone movement abstraction,DCGO/Assets/Scripts/Script/CardObjectController.cs; DCGO/Assets/Scripts/Script/CardController.cs; DCGO/Assets/Scripts/Script/Player.cs,AddHandCard; AddTrashCard; AddLibraryTopCards; AddSecurityCard; MovePermanent; RemoveFromAllArea,Separates game zone mutation from GameObject/Transform animations.
src/HeadlessDCGO.Engine/Headless/Services/IZoneStateReader.cs,Services,Read-only zone state abstraction for observation generation,DCGO/Assets/Scripts/Script/GameContext.cs; DCGO/Assets/Scripts/Script/Player.cs; DCGO/Assets/Scripts/Script/CardObjectController.cs,player zone snapshots; field/security/hand counts; card ids,Separates RL observation reads from zone mutation commands.
src/HeadlessDCGO.Engine/Headless/Services/LegalAction.cs,Services,Legal action placeholder for RL stepping,DCGO/Assets/Scripts/Script/TurnStateMachine.cs; DCGO/Assets/Scripts/Script/Player.cs,MainPhaseAction; QueueMainPhaseAction; DequeueMainPhaseAction,Represents actions before concrete action hierarchy is ported.
