category,existing_dependency_function_name,existing_location,current_porting_function_name,current_location,status,notes
"Action, Turn, Attack, Memory Mapping",end turn,EndTurn style flow,InMemoryHeadlessTurnController.EndTurn(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:45,CONTRACT,Turn rotation contract exists.
"Action, Turn, Attack, Memory Mapping",direct phase set,Unity state machine phase assignment,InMemoryHeadlessTurnController.SetPhase(HeadlessPhase),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessTurnController.cs:61,CONTRACT,For deterministic setup and transition tests.
"Action, Turn, Attack, Memory Mapping",attack declaration,"AttackProcess.cs, attack command",HeadlessActionFactory.DeclareAttack(...) / InMemoryHeadlessAttackController.DeclareAttack(...),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:197, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs:12",CONTRACT,Full battle/security rules later.
"Action, Turn, Attack, Memory Mapping",attack resolution,AttackProcess.cs,HeadlessActionFactory.ResolveAttack(...) / InMemoryHeadlessAttackController.ResolveAttack(...),"src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessActionFactory.cs:216, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessAttackController.cs:34",CONTRACT,Attack result contract exists.
"Action, Turn, Attack, Memory Mapping",memory set/add/pay,memory gauge mutation in AS-IS runtime,"InMemoryHeadlessMemoryController.Set(...), Add(...), Pay(...)","src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:26, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:32, src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessMemoryController.cs:42",PORTED,Memory mutation is service controlled.
Choice And UI Selection Mapping,SelectCardEffect.SetUp(...) and related setup fields,DCGO/Assets/Scripts/Script/SelectCardEffect.cs,ChoiceRequest(...),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs:7,PORTED,"Captures type, player, min/max, skip, zone, candidates."
Choice And UI Selection Mapping,SelectPermanentEffect.SetUp(...),SelectPermanentEffect.cs,ChoiceRequest(...) / ChoiceCandidate(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs:7, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceCandidate.cs:7",PORTED,Permanent candidates become stable IDs.
Choice And UI Selection Mapping,SelectCountEffect selected count,SelectCountEffect.cs,ChoiceResult.SelectCount(int),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:57,PORTED,Count selection result.
Choice And UI Selection Mapping,"_targetCards, _targetPermanents","SelectCardEffect.cs, SelectPermanentEffect.cs",ChoiceResult.Select(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:46, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:51",PORTED,Selected target IDs.
Choice And UI Selection Mapping,no-selection / cancel,"canNoSelect, skip button",ChoiceResult.Skip(),src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:41,PORTED,Explicit skip result.
Choice And UI Selection Mapping,choice validation,UI-side selectable checks,ChoiceResult.Validate(ChoiceRequest) / ThrowIfInvalid(...),"src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:62, src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs:88",PORTED,Enforces selected IDs/count against request.
Choice And UI Selection Mapping,"Activate(), WaitForEndSelect(), OnClick, EndSelect_RPC","Select*Effect.cs, UserSelectionManager.cs",IChoiceProvider.ChooseAsync(...),src/HeadlessDCGO.Engine/Headless/Choices/IChoiceProvider.cs,PORTED,UI wait/click/RPC becomes deterministic provider call.
Choice And UI Selection Mapping,queued scripted selection,"QueuePlayerSelection, DequeuePlayerSelection",ScriptedChoiceProvider.Enqueue(...) / ChooseAsync(...),"src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs:25, src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs:36",PORTED,Test/replay provider.
Choice And UI Selection Mapping,AI/policy choice,"IsAI, AI action queue",PolicyChoiceProvider.ChooseAsync(...),src/HeadlessDCGO.Engine/Headless/Choices/PolicyChoiceProvider.cs:12,CONTRACT,Policy hook exists; final AI/RL adapter can plug in.
Choice And UI Selection Mapping,choice pause,UI modal blocks gameplay,InMemoryHeadlessChoiceController.RequestChoice(...),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessChoiceController.cs:12,PORTED,Runtime pending choice state.
Choice And UI Selection Mapping,choice resume,selected result returns to effect/action,InMemoryHeadlessChoiceController.ResolveChoice(...),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessChoiceController.cs:43,PORTED,Runtime choice resolution state.
Choice And UI Selection Mapping,clear pending choice,UI selection closed/reset,InMemoryHeadlessChoiceController.ClearChoice(),src/HeadlessDCGO.Engine/Headless/Runtime/InMemoryHeadlessChoiceController.cs:70,PORTED,Explicit pending choice cleanup.
"Zone, Card State, And GameObject Mapping","GameObject, Transform, Image, SetActive visual-only calls",Unity object scripts,UnityNullObjectPolicy.Evaluate(...) / ShouldExclude(...),"src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs:7, src/HeadlessDCGO.Engine/Headless/Bridge/UnityNullObjectPolicy.cs:43",EXCLUDED,Visual-only objects are no-op/excluded unless gameplay service replacement is required.
"Zone, Card State, And GameObject Mapping","SetParent, sibling index/order",card object hierarchy,"ZoneState.InsertTop(...), InsertBottom(...), InsertAt(...)","src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:101, src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:108, src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:115",PORTED,Ordered zone collection replaces transform hierarchy.
"Zone, Card State, And GameObject Mapping",remove card object from area,"CardObjectController, Player zones",ZoneState.Remove(...),src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs:130,PORTED,Pure data mutation.
"Zone, Card State, And GameObject Mapping",move card between zones,"RemoveFromAllArea, MovePermanent, zone object moves",IZoneMover.MoveAsync(...) / InMemoryZoneMover.MoveAsync(...),"src/HeadlessDCGO.Engine/Headless/Services/IZoneMover.cs:9, src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:53",PORTED,Main zone movement API.
"Zone, Card State, And GameObject Mapping",AddHandCard,"Player.cs, CardObjectController.cs",InMemoryZoneMover.AddToHandAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:61,PORTED,Adds card to hand zone.
"Zone, Card State, And GameObject Mapping",AddTrashCard,"Player.cs, CardObjectController.cs",InMemoryZoneMover.AddToTrashAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:69,PORTED,Adds card to trash zone.
"Zone, Card State, And GameObject Mapping",AddSecurityCard,"Player.cs, security flows",InMemoryZoneMover.AddToSecurityAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:77,PORTED,Adds card to security zone.
"Zone, Card State, And GameObject Mapping",draw from deck/library,"Draw, library top moves",InMemoryZoneMover.DrawAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:101,PORTED,Draws deterministic top cards.
"Zone, Card State, And GameObject Mapping",add security from library,security setup/recovery flows,InMemoryZoneMover.AddSecurityFromLibraryAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:117,PORTED,Moves from library to security.
"Zone, Card State, And GameObject Mapping",trash security,security check/trash flows,InMemoryZoneMover.TrashSecurityAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:134,PORTED,Moves security cards to trash.
"Zone, Card State, And GameObject Mapping",hatch digitama,breeding area setup,InMemoryZoneMover.HatchDigitamaAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:163,PORTED,Moves digitama to breeding.
"Zone, Card State, And GameObject Mapping",move breeding to battle,raising phase movement,InMemoryZoneMover.MoveBreedingToBattleAsync(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:181,PORTED,Moves breeding card(s) to battle.
"Zone, Card State, And GameObject Mapping",shuffle deck/library,"Shuffle, GameRandom, deck randomization",InMemoryZoneMover.ShuffleAsync(...) / GameRandomSource.Shuffle<T>(...),"src/HeadlessDCGO.Engine/Headless/Services/InMemoryZoneMover.cs:201, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:60",PORTED,Seeded shuffle.
"Zone, Card State, And GameObject Mapping",suspended/revealed/card flags,"CardController, CardObjectController, Permanent state","CardInstanceState.Suspend(), Unsuspend(), Reveal(), Hide(), SetFlag(...)","src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:75, src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:80, src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:85, src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:90, src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs:153",CONTRACT,Data state exists; full rule semantics later.
Data Loading Mapping,"Resources.Load, Resources.LoadAll for gameplay card data",Unity Resources usage,CardAssetJsonLoader.LoadFile(...) / LoadDirectory(...),"src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs:65, src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs:106",PORTED,Loads converted card JSON without Unity runtime.
Data Loading Mapping,async file load,future runner/data pipeline,CardAssetJsonLoader.LoadFileAsync(...),src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs:84,PORTED,Async loader contract.
Data Loading Mapping,load card directory into DB,Unity asset database replacement,CardAssetJsonLoader.LoadDirectoryInto(...),src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs:127,PORTED,Populates CardDatabase.
Data Loading Mapping,CEntity_Base / CardBaseEntity definition lookup,"DCGO/Assets/CardBaseEntity, CardObjectController.cs","CardDatabase.Upsert(...), TryGetCard(...), GetCard(...), Query(...)","src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs:11, src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs:26, src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs:31, src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs:36",PORTED,Queryable card definition source.
Data Loading Mapping,deck code/file load,"ContinuousController, deck UI/load helpers","DeckListLoader.LoadFile(...), ParseCode(...), LoadLines(...)","src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs:7, src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs:38, src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs:44",PORTED,Unity-free deck list loading.
Data Loading Mapping,banlist option/data load,"ContinuousController, gameplay options","BanlistLoader.LoadFile(...), ParseCode(...), LoadLines(...)","src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs:7, src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs:38, src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs:44",PORTED,Unity-free banlist loading.
Data Loading Mapping,deck legality checks,UI/deck validation flows,DeckValidator.Validate(...),src/HeadlessDCGO.Engine/Headless/DataLoading/DeckValidator.cs:10,CONTRACT,Validation exists; game-format rules can expand later.
"Effect, Timing, And Hashtable Mapping","Hashtable, GetFromHashtable, HashtableSetting effect payloads","CardEffectCommons.cs, effect scripts",EffectContext(...),"src/HeadlessDCGO.Engine/Headless/Effects/EffectContext.cs:8, src/HeadlessDCGO.Engine/Headless/Effects/EffectContext.cs:22",PORTED,Typed context plus metadata dictionary.
"Effect, Timing, And Hashtable Mapping","SkillInfo, effect activation request","AutoProcessing.cs, MultipleSkills.cs, CardEffectFactory.cs",EffectRequest(...),src/HeadlessDCGO.Engine/Headless/Effects/EffectRequest.cs:7,PORTED,One queued effect activation request.
"Effect, Timing, And Hashtable Mapping","StackedSkillInfos, PutStackedSkill, queued skills","AutoProcessing.cs, MultipleSkills.cs","EffectResolutionQueue.Enqueue(...), TryPeek(...), TryDequeue(...)","src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs:9, src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs:15, src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs:27",PORTED,Deterministic queue contract.
"Effect, Timing, And Hashtable Mapping","AutoProcessCheck, RuleProcess, TriggeredSkillProcess, ActivateBackgroundEffects",AutoProcessing.cs,"EffectScheduler.Enqueue(...), ResolveNextAsync(...), ResolveAllAsync(...)","src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs:31, src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs:53, src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs:104",CONTRACT,Queue and scheduling contract exists; real effect bodies later.
"Effect, Timing, And Hashtable Mapping",effect lookup by timing,"AutoProcessing.cs, effect factory/discovery",IEffectQueryService.GetEffectsForTiming(...) / InMemoryEffectQueryService.GetEffectsForTiming(...),"src/HeadlessDCGO.Engine/Headless/Services/IEffectQueryService.cs, src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:15",PORTED,Timing-based effect query surface.
"Effect, Timing, And Hashtable Mapping",continuous effect query,"ContinuousController, permanent effect lists",InMemoryEffectQueryService.GetContinuousEffects(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:25,PORTED,Role-specific query.
"Effect, Timing, And Hashtable Mapping",replacement effect query,replacement effects,InMemoryEffectQueryService.GetReplacementEffects(...),src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:31,PORTED,Role-specific query.
"Effect, Timing, And Hashtable Mapping",modifier/restriction query,modifier/restriction effects,"InMemoryEffectQueryService.GetModifierEffects(...), GetRestrictionEffects(...)","src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:37, src/HeadlessDCGO.Engine/Headless/Services/InMemoryEffectQueryService.cs:43",PORTED,Role-specific query.
"Effect, Timing, And Hashtable Mapping",effect registry/factory lookup,"CardEffectFactory.cs, PermanentEffects, EffectList","EffectRegistry.Register(...), GetEffects(...), Find(...)","src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:24, src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:38, src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs:103",CONTRACT,Registry contract exists; actual card effect binding later.
"Effect, Timing, And Hashtable Mapping",timing window collection,trigger timing checks,"DefaultTimingWindowResolver.CollectTriggers(...), OpenWindow(...)","src/HeadlessDCGO.Engine/Headless/Rules/TimingWindowResolver.cs:24, src/HeadlessDCGO.Engine/Headless/Rules/TimingWindowResolver.cs:57",CONTRACT,Timing window contract exists.
"Random, Logging, Diagnostics Mapping","UnityEngine.Random, GameRandom, IsSucceedProbability","GameRandom.cs, ContinuousController.cs","IRandomSource / GameRandomSource.NextInt(...), NextDouble(), Shuffle<T>(...)","src/HeadlessDCGO.Engine/Headless/Services/IRandomSource.cs, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:36, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:55, src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:60",PORTED,Seeded deterministic random source.
"Random, Logging, Diagnostics Mapping",random seed reset,ContinuousController.SetRandom style state,GameRandomSource.ResetSeed(int),src/HeadlessDCGO.Engine/Headless/Services/GameRandomSource.cs:20,PORTED,Explicit seed control.
"Random, Logging, Diagnostics Mapping","Debug.Log, Debug.LogWarning, Debug.LogError",Unity console calls,"ILogSink.Info(...), Warn(...), Error(...)",src/HeadlessDCGO.Engine/Headless/Services/ILogSink.cs,PORTED,Plain log abstraction.
"Random, Logging, Diagnostics Mapping",optional no-op logging,client-only log side effects,"NullLogSink.Info(...), Warn(...), Error(...)","src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:5, src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:9, src/HeadlessDCGO.Engine/Headless/Services/NullLogSink.cs:13",PORTED,Removes log side effects.
"Random, Logging, Diagnostics Mapping",capture logs for tests,Unity console / PlayLog output,"InMemoryLogSink.Info(...), Snapshot(), Clear()","src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:10, src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:25, src/HeadlessDCGO.Engine/Headless/Services/InMemoryLogSink.cs:30",PORTED,Testable log collection.
"Random, Logging, Diagnostics Mapping",PlayLog.OnAddLog,PlayLog.cs,EngineTrace.Record(...),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:22,PORTED,Structured deterministic trace.
"Random, Logging, Diagnostics Mapping",trace snapshot,UI log panel state,EngineTrace.Snapshot(),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:44,PORTED,Replay/debug inspection.
"Random, Logging, Diagnostics Mapping",deterministic trace hash,parity/debug comparison,EngineTrace.Fingerprint(),src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs:49,PORTED,Stable comparison surface.
