Goal ID,단계,영역,목표,작업 범위,산출물,단위테스트 범위,상세 지시서,결과 문서,선행 Goal,완료 기준,우선순위
G1C-001,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,EngineContext,service container와 current match context 확정,EngineContext,service registration lookup 테스트,docs/goal-specs/G1C-001_enginecontext.md,docs/test-results/goals/G1C-001_engine_context_unit_test_results.md,G1A-002,EngineContext 테스트 통과,높음
G1C-002,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,GManagerBridge,GManager instance 대체 매핑 확정,GManagerBridge,turn effect attack state service access 테스트,docs/goal-specs/G1C-002_gmanagerbridge.md,docs/test-results/goals/G1C-002_gmanager_bridge_unit_test_results.md,G1C-001,GManagerBridge 테스트 통과,높음
G1C-003,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,ContinuousContext,ContinuousController 대체 config 확정,ContinuousContext/MatchConfig 매핑,seed option deck session config 테스트,docs/goal-specs/G1C-003_continuouscontext.md,docs/test-results/goals/G1C-003_continuous_context_unit_test_results.md,G1C-001,ContinuousContext 테스트 통과,높음
G1C-004,Phase 1 - Unity 대체 기반 구현,Unity 전역 접근 대체,Unity-only exclusion policy,Unity-only 접근 제외 정책 확정,Unity 전용 객체 제외 정책,UI scene animation access exclusion 테스트,docs/goal-specs/G1C-004_unity_only_exclusion_policy.md,docs/test-results/goals/G1C-004_unity_exclusion_policy_unit_test_results.md,G1C-002; G1C-003,Unity-only exclusion 테스트 통과,높음
G1D-001,Phase 1 - Unity 대체 기반 구현,코루틴 대체,EngineTask contract,Headless task 계약 확정,IEngineTask/EngineTaskStatus,task step completion error 테스트,docs/goal-specs/G1D-001_enginetask_contract.md,docs/test-results/goals/G1D-001_engine_task_contract_unit_test_results.md,G1A-002,EngineTask 계약 테스트 통과,높음
G1D-002,Phase 1 - Unity 대체 기반 구현,코루틴 대체,WaitCondition,WaitForSeconds WaitWhile 대체 조건 확정,EngineWaitCondition,seconds condition deterministic 테스트,docs/goal-specs/G1D-002_waitcondition.md,docs/test-results/goals/G1D-002_wait_condition_unit_test_results.md,G1D-001,wait condition 테스트 통과,높음
G1D-003,Phase 1 - Unity 대체 기반 구현,코루틴 대체,CoroutineAdapter,IEnumerator 어댑터 확정,CoroutineAdapter,nested enumerator completion 테스트,docs/goal-specs/G1D-003_coroutineadapter.md,docs/test-results/goals/G1D-003_coroutine_adapter_unit_test_results.md,G1D-002,CoroutineAdapter 테스트 통과,높음
G1D-004,Phase 1 - Unity 대체 기반 구현,코루틴 대체,TaskRunner 안정화,task queue runner 확정,EngineTaskRunner,run until idle queue order error propagation 테스트,docs/goal-specs/G1D-004_taskrunner_안정화.md,docs/test-results/goals/G1D-004_task_runner_unit_test_results.md,G1D-003,TaskRunner 테스트 통과,높음
G1E-001,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,Choice schema,choice request candidate zone type 스키마 확정,ChoiceRequest/ChoiceCandidate/ChoiceType/ChoiceZone,스키마 검증 테스트,docs/goal-specs/G1E-001_choice_schema.md,docs/test-results/goals/G1E-001_choice_schema_unit_test_results.md,G1A-003,Choice 스키마 테스트 통과,높음
G1E-002,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,ChoiceResult validation,선택 결과 검증 기준 확정,ChoiceResult/ChoiceOption,select count skip invalid candidate 테스트,docs/goal-specs/G1E-002_choiceresult_validation.md,docs/test-results/goals/G1E-002_choice_result_validation_unit_test_results.md,G1E-001,ChoiceResult 테스트 통과,높음
G1E-003,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,ScriptedChoiceProvider,scripted deterministic choice 확정,ScriptedChoiceProvider,queued 결과 deterministic 테스트,docs/goal-specs/G1E-003_scriptedchoiceprovider.md,docs/test-results/goals/G1E-003_scripted_choice_provider_unit_test_results.md,G1E-002,Scripted provider 테스트 통과,높음
G1E-004,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,PolicyChoiceProvider,policy delegate choice 확정,PolicyChoiceProvider,delegate cancellation error 테스트,docs/goal-specs/G1E-004_policychoiceprovider.md,docs/test-results/goals/G1E-004_policy_choice_provider_unit_test_results.md,G1E-002,Policy provider 테스트 통과,높음
G1E-005,Phase 1 - Unity 대체 기반 구현,선택 처리 대체,Choice pause resume contract,choice pending과 resume 계약 확정,PendingChoiceState runtime integration 계약,pause resume 결과 테스트,docs/goal-specs/G1E-005_choice_pause_resume_contract.md,docs/test-results/goals/G1E-005_choice_pause_resume_unit_test_results.md,G1E-003; G1E-004,choice pause resume 테스트 통과,높음
G1F-001,Phase 1 - Unity 대체 기반 구현,효과 처리,Effect request context schema,effect context 계약 확정,EffectRequest/EffectContext/EffectResult,source owner 트리거 target context 테스트,docs/goal-specs/G1F-001_effect_request_context_schema.md,docs/test-results/goals/G1F-001_effect_context_schema_unit_test_results.md,G1B-001; G1E-001,Effect context 테스트 통과,높음
G1F-002,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectResolutionQueue,effect queue ordering 확정,EffectResolutionQueue/PendingEffect,enqueue dequeue order clear 테스트,docs/goal-specs/G1F-002_effectresolutionqueue.md,docs/test-results/goals/G1F-002_effect_resolution_queue_unit_test_results.md,G1F-001,Effect queue 테스트 통과,높음
G1F-003,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectScheduler,effect resolve orchestration 확정,EffectScheduler,resolve next resolve all choice pause 테스트,docs/goal-specs/G1F-003_effectscheduler.md,docs/test-results/goals/G1F-003_effect_scheduler_unit_test_results.md,G1F-002; G1E-005,EffectScheduler 테스트 통과,높음
G1F-004,Phase 1 - Unity 대체 기반 구현,효과 처리,TimingWindowResolver contract,트리거 timing 계약 확정,TimingWindowResolver 인터페이스,트리거 수집 ordering 계약 테스트,docs/goal-specs/G1F-004_timingwindowresolver_contract.md,docs/test-results/goals/G1F-004_timing_window_contract_unit_test_results.md,G1F-003,Timing 계약 테스트 통과,높음
G1F-005,Phase 1 - Unity 대체 기반 구현,효과 처리,EffectRegistry contract,effect lookup 계약 확정,EffectRegistry 인터페이스,register lookup missing binding 테스트,docs/goal-specs/G1F-005_effectregistry_contract.md,docs/test-results/goals/G1F-005_effect_registry_contract_unit_test_results.md,G1F-001,EffectRegistry 계약 테스트 통과,높음
G1F-006,Phase 1 - Unity 대체 기반 구현,효과 처리,Continuous Replacement query contract,상시 대체 효과 조회 경계 확정,IEffectQueryService 계약s,수치/비용 변경 제한 대체 효과 query 테스트,docs/goal-specs/G1F-006_continuous_replacement_query_contract.md,docs/test-results/goals/G1F-006_continuous_replacement_query_unit_test_results.md,G1F-005,Effect query 계약 테스트 통과,높음
G1G-001,Phase 1 - Unity 대체 기반 구현,세션/네트워크 대체,Player session model,local player session 모델 확정,HeadlessPlayerId SessionContext,player ownership turn identity 테스트,docs/goal-specs/G1G-001_player_session_model.md,docs/test-results/goals/G1G-001_player_session_model_unit_test_results.md,G1B-001,session 모델 테스트 통과,높음
G1G-002,Phase 1 - Unity 대체 기반 구현,세션/네트워크 대체,Action queue replay metadata,action queue와 replay metadata 확정,HeadlessActionQueue ReplayActionRecord,ordering metadata serialization 테스트,docs/goal-specs/G1G-002_action_queue_replay_metadata.md,docs/test-results/goals/G1G-002_action_queue_replay_unit_test_results.md,G1G-001; G1A-003,action queue 테스트 통과,높음
G1G-003,Phase 1 - Unity 대체 기반 구현,세션/네트워크 대체,Photon dependency guard,Photon 제거 검증 확정,dependency scan 테스트,Photon namespace absence 테스트,docs/goal-specs/G1G-003_photon_dependency_guard.md,docs/test-results/goals/G1G-003_photon_dependency_guard_unit_test_results.md,G1G-002,Photon guard 테스트 통과,높음
G1H-001,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Card repository contract,card lookup 계약 확정,ICardRepository CardRecord,get missing query 테스트,docs/goal-specs/G1H-001_card_repository_contract.md,docs/test-results/goals/G1H-001_card_repository_contract_unit_test_results.md,G1B-001,Card repository 테스트 통과,높음
G1H-002,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Card JSON loader,card JSON loading 계약 확정,CardAssetJsonLoader,valid invalid 스키마 deterministic failure 테스트,docs/goal-specs/G1H-002_card_json_loader.md,docs/test-results/goals/G1H-002_card_json_loader_unit_test_results.md,G1H-001,Card JSON loader 테스트 통과,높음
G1H-003,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Deck list loader,decklist parsing 계약 확정,DeckListLoader,deck code file invalid entry 테스트,docs/goal-specs/G1H-003_deck_list_loader.md,docs/test-results/goals/G1H-003_deck_list_loader_unit_test_results.md,G1H-001,Deck loader 테스트 통과,높음
G1H-004,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Banlist loader,banlist loading 계약 확정,BanlistLoader,valid invalid banlist 테스트,docs/goal-specs/G1H-004_banlist_loader.md,docs/test-results/goals/G1H-004_banlist_loader_unit_test_results.md,G1H-001,Banlist loader 테스트 통과,중간
G1H-005,Phase 1 - Unity 대체 기반 구현,데이터 로딩,Unity asset exclusion guard,gameplay data에서 visual asset 제외 확정,asset exclusion scan,image prefab audio animation exclusion 테스트,docs/goal-specs/G1H-005_unity_asset_exclusion_guard.md,docs/test-results/goals/G1H-005_unity_asset_exclusion_guard_unit_test_results.md,G1H-002; G1H-003,Unity asset guard 테스트 통과,높음
G1I-001,Phase 1 - Unity 대체 기반 구현,진단/결정성,Seeded random,deterministic random 확정,IRandomSource/GameRandomSource,next shuffle same seed 테스트,docs/goal-specs/G1I-001_seeded_random.md,docs/test-results/goals/G1I-001_seeded_random_unit_test_results.md,G1A-001,Seeded random 테스트 통과,높음
G1I-002,Phase 1 - Unity 대체 기반 구현,진단/결정성,EngineTrace,trace sequence와 fingerprint 확정,EngineTrace/TraceEvent,record snapshot clear fingerprint 테스트,docs/goal-specs/G1I-002_enginetrace.md,docs/test-results/goals/G1I-002_engine_trace_unit_test_results.md,G1A-001,EngineTrace 테스트 통과,높음
G1I-003,Phase 1 - Unity 대체 기반 구현,진단/결정성,Log sink,log sink 계약 확정,ILogSink/NullLogSink/InMemoryLogSink,info warn error null sink 테스트,docs/goal-specs/G1I-003_log_sink.md,docs/test-results/goals/G1I-003_log_sink_unit_test_results.md,G1I-002,Log sink 테스트 통과,중간
G1I-004,Phase 1 - Unity 대체 기반 구현,진단/결정성,Forbidden dependency scan,금지 의존성 scan 확정,dependency scan 테스트,Unity Photon TMPro DOTween UI namespace absence 테스트,docs/goal-specs/G1I-004_forbidden_dependency_scan.md,docs/test-results/goals/G1I-004_forbidden_dependency_scan_unit_test_results.md,G1G-003; G1H-005,forbidden dependency 테스트 통과,높음
G1I-005,Phase 1 - Unity 대체 기반 구현,단계 완료 게이트,Phase 1 aggregate result,Phase 1 전체 결과 집계,phase1 결과 document,Goal 결과 문서 링크와 전체 테스트 통과 확인,docs/goal-specs/G1I-005_phase_1_aggregate_result.md,docs/test-results/goals/G1I-005_phase1_aggregate_unit_test_results.md,G1A-005; G1B-006; G1C-004; G1D-004; G1E-005; G1F-006; G1G-003; G1H-005; G1I-004,Phase 2 착수 가능,높음
G2A-001,Phase 2 - AS-IS 핵심 흐름 포팅,턴/페이즈 흐름,Phase enum과 state mapping 포팅,AS-IS phase 값을 Headless phase로 매핑,HeadlessPhase 매핑,phase 매핑 roundtrip 테스트,docs/goal-specs/G2A-001_phase_enum과_state_mapping_포팅.md,docs/test-results/goals/G2A-001_phase_mapping_unit_test_results.md,G1I-005,phase 매핑 테스트 통과,높음
G2A-002,Phase 2 - AS-IS 핵심 흐름 포팅,턴/페이즈 흐름,매치 setup과 선후공 흐름 포팅,초기 player turn security hand setup,setup 흐름,선후공 초기 세팅 테스트,docs/goal-specs/G2A-002_매치_setup과_선후공_흐름_포팅.md,docs/test-results/goals/G2A-002_setup_first_player_unit_test_results.md,G2A-001,setup 테스트 통과,높음
G2A-003,Phase 2 - AS-IS 핵심 흐름 포팅,턴/페이즈 흐름,Draw Unsuspend Breeding phase 포팅,초기 phase progression 포팅,페이즈 전이 implementation,draw unsuspend breeding 테스트,docs/goal-specs/G2A-003_draw_unsuspend_breeding_phase_포팅.md,docs/test-results/goals/G2A-003_early_phase_flow_unit_test_results.md,G2A-002,초기 phase 테스트 통과,높음
G2A-004,Phase 2 - AS-IS 핵심 흐름 포팅,턴/페이즈 흐름,Main phase와 memory pass 포팅,main phase 진입과 메모리 패스 처리,main phase memory logic,메모리 패스 테스트,docs/goal-specs/G2A-004_main_phase와_memory_pass_포팅.md,docs/test-results/goals/G2A-004_main_phase_memory_pass_unit_test_results.md,G2A-003,main phase 테스트 통과,높음
G2A-005,Phase 2 - AS-IS 핵심 흐름 포팅,턴/페이즈 흐름,End turn cleanup 포팅,턴 종료와 once flag cleanup 처리,end turn cleanup,end turn flag reset 테스트,docs/goal-specs/G2A-005_end_turn_cleanup_포팅.md,docs/test-results/goals/G2A-005_end_turn_cleanup_unit_test_results.md,G2A-004,end turn 테스트 통과,높음
G2A-006,Phase 2 - AS-IS 핵심 흐름 포팅,턴/페이즈 흐름,Legal action dispatch hook 포팅,phase별 legal action 조회 연결,legal action dispatcher,phase legal action 테스트,docs/goal-specs/G2A-006_legal_action_dispatch_hook_포팅.md,docs/test-results/goals/G2A-006_legal_action_dispatch_unit_test_results.md,G2A-005,legal dispatch 테스트 통과,높음
G2B-001,Phase 2 - AS-IS 핵심 흐름 포팅,게임 컨텍스트,GameContext state accessor 포팅,AS-IS GameContext 접근을 MatchState로 연결,GameContext 어댑터,상태 읽기/쓰기 테스트,docs/goal-specs/G2B-001_gamecontext_state_accessor_포팅.md,docs/test-results/goals/G2B-001_gamecontext_state_accessor_unit_test_results.md,G2A-002,GameContext accessor 테스트 통과,높음
G2B-002,Phase 2 - AS-IS 핵심 흐름 포팅,게임 컨텍스트,Visibility view 포팅,player view와 debug full view 분리,visibility view,비공개 정보 시야 테스트,docs/goal-specs/G2B-002_visibility_view_포팅.md,docs/test-results/goals/G2B-002_visibility_view_unit_test_results.md,G2B-001,visibility 테스트 통과,높음
G2C-001,Phase 2 - AS-IS 핵심 흐름 포팅,플레이어 상태,Player zone ownership 포팅,deck hand field trash security ownership 연결,Player zone 어댑터,존 소유자 테스트,docs/goal-specs/G2C-001_player_zone_ownership_포팅.md,docs/test-results/goals/G2C-001_player_zone_ownership_unit_test_results.md,G2B-001,player zone 테스트 통과,높음
G2C-002,Phase 2 - AS-IS 핵심 흐름 포팅,플레이어 상태,Memory security deck loss check 포팅,player memory security deck loss 판단,Player rule 어댑터,memory security deck loss 테스트,docs/goal-specs/G2C-002_memory_security_deck_loss_check_포팅.md,docs/test-results/goals/G2C-002_player_terminal_checks_unit_test_results.md,G2C-001,player terminal check 테스트 통과,높음
G2D-001,Phase 2 - AS-IS 핵심 흐름 포팅,카드 컨트롤러,Card identity binding 포팅,CardController와 카드 인스턴스 상태 연결,card identity 어댑터,카드 인스턴스 연결 테스트,docs/goal-specs/G2D-001_card_identity_binding_포팅.md,docs/test-results/goals/G2D-001_card_identity_binding_unit_test_results.md,G2C-001,card identity 테스트 통과,높음
G2D-002,Phase 2 - AS-IS 핵심 흐름 포팅,카드 컨트롤러,Zone movement event 포팅,카드 이동과 이벤트 발생 연결,card movement port,이동 이벤트 테스트,docs/goal-specs/G2D-002_zone_movement_event_포팅.md,docs/test-results/goals/G2D-002_card_zone_movement_unit_test_results.md,G2D-001,card movement 테스트 통과,높음
G2D-003,Phase 2 - AS-IS 핵심 흐름 포팅,카드 컨트롤러,Suspend reveal state 포팅,suspend unsuspend reveal face-up 처리,card state mutation,suspend reveal 테스트,docs/goal-specs/G2D-003_suspend_reveal_state_포팅.md,docs/test-results/goals/G2D-003_card_suspend_reveal_unit_test_results.md,G2D-002,card state mutation 테스트 통과,높음
G2D-004,Phase 2 - AS-IS 핵심 흐름 포팅,카드 컨트롤러,Digivolution source attach 포팅,진화원 attach detach와 source order 처리,진화원 스택 mutation,source attach detach 테스트,docs/goal-specs/G2D-004_digivolution_source_attach_포팅.md,docs/test-results/goals/G2D-004_digivolution_source_attach_unit_test_results.md,G2D-003,진화원 스택 테스트 통과,높음
G2E-001,Phase 2 - AS-IS 핵심 흐름 포팅,메인 페이즈 액션,PlayCardAction 포팅,카드 플레이 action 검증과 apply,PlayCardAction,카드 플레이 합법성/적용 테스트,docs/goal-specs/G2E-001_playcardaction_포팅.md,docs/test-results/goals/G2E-001_play_card_action_unit_test_results.md,G2A-006; G2D-002,play action 테스트 통과,높음
G2E-002,Phase 2 - AS-IS 핵심 흐름 포팅,메인 페이즈 액션,Digivolve action 포팅,디지볼브 action 검증과 apply,DigivolveAction,디지볼브 합법성/적용 테스트,docs/goal-specs/G2E-002_digivolve_action_포팅.md,docs/test-results/goals/G2E-002_digivolve_action_unit_test_results.md,G2E-001; G2D-004,digivolve action 테스트 통과,높음
G2E-003,Phase 2 - AS-IS 핵심 흐름 포팅,메인 페이즈 액션,Option activate action 포팅,옵션 사용 action 검증과 apply,ActivateCardAction option 흐름,옵션 사용 테스트,docs/goal-specs/G2E-003_option_activate_action_포팅.md,docs/test-results/goals/G2E-003_option_activate_action_unit_test_results.md,G2E-001,option action 테스트 통과,높음
G2E-004,Phase 2 - AS-IS 핵심 흐름 포팅,메인 페이즈 액션,Attack action 연결 포팅,공격 action을 AttackProcess로 연결,AttackPermanentAction attack intent,attack action dispatch 테스트,docs/goal-specs/G2E-004_attack_action_연결_포팅.md,docs/test-results/goals/G2E-004_attack_action_dispatch_unit_test_results.md,G2A-006,attack action dispatch 테스트 통과,높음
G2E-005,Phase 2 - AS-IS 핵심 흐름 포팅,메인 페이즈 액션,Pass와 Cheat guard 포팅,pass action과 cheat action 제외 정책,PassAction CheatAction guard,pass cheat guard 테스트,docs/goal-specs/G2E-005_pass와_cheat_guard_포팅.md,docs/test-results/goals/G2E-005_pass_cheat_guard_unit_test_results.md,G2E-001,pass guard 테스트 통과,중간
G2F-001,Phase 2 - AS-IS 핵심 흐름 포팅,자동 효과 처리,Trigger event collection 포팅,GameEvent에서 트리거 후보 수집,AutoProcessing 트리거 collector,이벤트 트리거 수집 테스트,docs/goal-specs/G2F-001_trigger_event_collection_포팅.md,docs/test-results/goals/G2F-001_trigger_collection_unit_test_results.md,G2A-006; G1F-006,트리거 수집 테스트 통과,높음
G2F-002,Phase 2 - AS-IS 핵심 흐름 포팅,자동 효과 처리,Mandatory effect ordering 포팅,mandatory effect 순서 처리,mandatory effect ordering,강제 효과 순서 테스트,docs/goal-specs/G2F-002_mandatory_effect_ordering_포팅.md,docs/test-results/goals/G2F-002_mandatory_effect_order_unit_test_results.md,G2F-001,강제 효과 순서ing 테스트 통과,높음
G2F-003,Phase 2 - AS-IS 핵심 흐름 포팅,자동 효과 처리,Optional prompt queue 포팅,optional effect 선택 요청 연결,optional prompt queue,선택 효과 선택 테스트,docs/goal-specs/G2F-003_optional_prompt_queue_포팅.md,docs/test-results/goals/G2F-003_optional_prompt_queue_unit_test_results.md,G2F-002; G1E-005,optional prompt 테스트 통과,높음
G2F-004,Phase 2 - AS-IS 핵심 흐름 포팅,자동 효과 처리,Security delayed trigger hook 포팅,security와 delayed 트리거 연결,security delayed hook,security delayed 트리거 테스트,docs/goal-specs/G2F-004_security_delayed_trigger_hook_포팅.md,docs/test-results/goals/G2F-004_security_delayed_trigger_hook_unit_test_results.md,G2F-003,security delayed hook 테스트 통과,높음
G2G-001,Phase 2 - AS-IS 핵심 흐름 포팅,공격/배틀 처리,Attack declaration target 포팅,공격 선언과 target 후보 생성,공격 선언,target candidate 테스트,docs/goal-specs/G2G-001_attack_declaration_target_포팅.md,docs/test-results/goals/G2G-001_attack_declaration_targets_unit_test_results.md,G2E-004,공격 선언 테스트 통과,높음
G2G-002,Phase 2 - AS-IS 핵심 흐름 포팅,공격/배틀 처리,Block timing 포팅,block timing window와 blocker 선택,block timing,블록 선택 테스트,docs/goal-specs/G2G-002_block_timing_포팅.md,docs/test-results/goals/G2G-002_block_timing_unit_test_results.md,G2G-001; G1E-005,block timing 테스트 통과,높음
G2G-003,Phase 2 - AS-IS 핵심 흐름 포팅,공격/배틀 처리,Battle DP deletion 포팅,DP 비교와 battle deletion 처리,battle resolver,배틀 DP 비교/삭제 테스트,docs/goal-specs/G2G-003_battle_dp_deletion_포팅.md,docs/test-results/goals/G2G-003_battle_dp_deletion_unit_test_results.md,G2G-002,battle 테스트 통과,높음
G2G-004,Phase 2 - AS-IS 핵심 흐름 포팅,공격/배틀 처리,Security check 포팅,시큐리티 체크와 security zone 이동,security resolver,시큐리티 체크 테스트,docs/goal-specs/G2G-004_security_check_포팅.md,docs/test-results/goals/G2G-004_security_check_unit_test_results.md,G2G-003,시큐리티 체크 테스트 통과,높음
G2G-005,Phase 2 - AS-IS 핵심 흐름 포팅,공격/배틀 처리,End attack trigger 포팅,end attack 이벤트와 트리거 연결,end attack 트리거 hook,end attack 트리거 테스트,docs/goal-specs/G2G-005_end_attack_trigger_포팅.md,docs/test-results/goals/G2G-005_end_attack_trigger_unit_test_results.md,G2G-004; G2F-001,end attack 트리거 테스트 통과,높음
G2Z-001,Phase 2 - AS-IS 핵심 흐름 포팅,단계 완료 게이트,Phase 2 aggregate result,Phase 2 전체 결과 집계,Phase 2 결과 문서,Phase 2 Goal 결과 문서 링크와 전체 테스트 통과 확인,docs/goal-specs/G2Z-001_phase_2_aggregate_result.md,docs/test-results/goals/G2Z-001_phase2_aggregate_unit_test_results.md,G2A-006; G2B-002; G2C-002; G2D-004; G2E-005; G2F-004; G2G-005,Phase 3 착수 가능,높음
G3A-001,Phase 3 - 공통 룰/효과 인프라 포팅,효과 계약,ICardEffect contract 포팅,typed card effect 실행 계약 포팅,ICardEffect equivalent,resolve 계약 테스트,docs/goal-specs/G3A-001_icardeffect_contract_포팅.md,docs/test-results/goals/G3A-001_icard_effect_contract_unit_test_results.md,G2Z-001,effect 계약 테스트 통과,높음
G3A-002,Phase 3 - 공통 룰/효과 인프라 포팅,효과 계약,SkillInfo 포팅,SkillInfo와 effect metadata 포팅,SkillInfo 모델,skill metadata 테스트,docs/goal-specs/G3A-002_skillinfo_포팅.md,docs/test-results/goals/G3A-002_skill_info_unit_test_results.md,G3A-001,SkillInfo 테스트 통과,높음
G3B-001,Phase 3 - 공통 룰/효과 인프라 포팅,효과 컨텍스트,Hashtable 제거 adapter 포팅,GetFromHashtable와 HashtableSetting typed 전환,typed context 어댑터,hashtable key 대체 효과 테스트,docs/goal-specs/G3B-001_hashtable_제거_adapter_포팅.md,docs/test-results/goals/G3B-001_hashtable_replacement_adapter_unit_test_results.md,G3A-002,Hashtable 대체 효과 테스트 통과,높음
