mapping_id,phase,category,asis_class,asis_function,asis_signature,asis_file,asis_location,asis_line,tobe_class,tobe_function,tobe_location,porting_method,status,notes
AFM-00015,Phase 4+,효과/자동처리,AutoProcessing,GetSkillInfos,"public static List<SkillInfo> GetSkillInfos(Hashtable hashtable, EffectTiming timing, Func<ICardEffect, bool> cardEffectCondition = null)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,770,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00016,Phase 4+,효과/자동처리,AutoProcessing,ActivateBackgroundEffects,"public static IEnumerator ActivateBackgroundEffects(Hashtable hashtable, EffectTiming timing, Func<ICardEffect, bool> cardEffectCondition = null)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,889,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00017,Phase 4+,효과/자동처리,AutoProcessing,StackSkillInfos,"public IEnumerator StackSkillInfos(Hashtable hashtable, EffectTiming timing, Func<ICardEffect, bool> cardEffectCondition = null)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,984,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00018,Phase 4+,효과/자동처리,AutoProcessing,GetSkillInfosOfCards,"public static List<SkillInfo> GetSkillInfosOfCards(Hashtable hashtable, EffectTiming timing, List<CardSource> cardSources, Func<ICardEffect, bool> cardEffectCondition = null)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,993,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00019,Phase 4+,효과/자동처리,AutoProcessing,ActivateBackgroundEffectsOfCards,"public static IEnumerator ActivateBackgroundEffectsOfCards(Hashtable hashtable, EffectTiming timing, List<CardSource> cardSources, Func<ICardEffect, bool> cardEffectCondition = null)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,1024,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00020,Phase 4+,효과/자동처리,AutoProcessing,StackSkillInfosOfCards,"public IEnumerator StackSkillInfosOfCards(Hashtable hashtable, EffectTiming timing, List<CardSource> cardSources, Func<ICardEffect, bool> cardEffectCondition = null)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,1053,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00021,Phase 3.5,효과/스케줄러,AutoProcessing,ActivateEffectProcess,"public IEnumerator ActivateEffectProcess(ICardEffect cardEffect, Hashtable hashtable, bool isCheckOptional = true)",AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,1063,EffectScheduler,ResolveAllAsync,src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs,직접포팅,PORTED,G3.5-001 resolver 연결
AFM-00022,Phase 4+,효과/자동처리,AutoProcessing,IsCutInEffectHasUsed,public bool IsCutInEffectHasUsed(ICardEffect cutinEffect),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,1090,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00023,Phase 4+,효과/자동처리,AutoProcessing,IsCutInEffectUsedMaxCount,public bool IsCutInEffectUsedMaxCount(ICardEffect cutinEffect),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,1095,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00024,Phase 4+,효과/자동처리,AutoProcessing,AddCutinEffect,public void AddCutinEffect(ICardEffect cardEffect),AutoProcessing.cs,DCGO/Assets/Scripts/Script/AutoProcessing.cs,1100,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00025,Phase 4+,기타,BattleMode,OffBattle,public void OffBattle(),BattleMode.cs,DCGO/Assets/Scripts/Script/BattleMode.cs,24,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00026,Phase 4+,기타,BattleMode,SetUpBattleMode,public void SetUpBattleMode(),BattleMode.cs,DCGO/Assets/Scripts/Script/BattleMode.cs,41,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00027,N/A,UI/클라이언트,BendText,ReCalculate,public void ReCalculate(),BendText.cs,DCGO/Assets/Scripts/Script/BendText.cs,52,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00028,N/A,UI/클라이언트,BGMObject,StopPlayBGM,public void StopPlayBGM(),BGMObject.cs,DCGO/Assets/Scripts/Script/BGMObject.cs,17,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00029,N/A,UI/클라이언트,BGMObject,StartPlayBGM,public void StartPlayBGM(AudioClip clip),BGMObject.cs,DCGO/Assets/Scripts/Script/BGMObject.cs,28,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00030,N/A,UI/클라이언트,BGMObject,FadeOut,public IEnumerator FadeOut(float duration),BGMObject.cs,DCGO/Assets/Scripts/Script/BGMObject.cs,58,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00031,Phase 1,Runtime And Lifecycle Mapping,BrainStormObject,Init,public IEnumerator Init(),BrainStormObject.cs,DCGO/Assets/Scripts/Script/BrainStormObject.cs,16,DcgoMatch,"DcgoMatch.InitializeAsync(MatchConfig, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:39,역할기반_재설계,PORTED,Top-level match initialization entry point.
AFM-00032,N/A,UI/클라이언트,BrainStormObject,BrainStormCoroutine,public IEnumerator BrainStormCoroutine(CardSource cardSource),BrainStormObject.cs,DCGO/Assets/Scripts/Script/BrainStormObject.cs,35,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00033,N/A,UI/클라이언트,BrainStormObject,EndBrainStorm,public void EndBrainStorm(),BrainStormObject.cs,DCGO/Assets/Scripts/Script/BrainStormObject.cs,68,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00034,N/A,UI/클라이언트,BrainStormObject,CloseBrainstrorm,public IEnumerator CloseBrainstrorm(CardSource cardSource),BrainStormObject.cs,DCGO/Assets/Scripts/Script/BrainStormObject.cs,76,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00035,Phase 1,Runtime And Lifecycle Mapping,BreakGlass,Init,public virtual void Init(Material material),BreakGlass.cs,DCGO/Assets/Scripts/Script/BreakGlass.cs,14,DcgoMatch,"DcgoMatch.InitializeAsync(MatchConfig, CancellationToken)",src/HeadlessDCGO.Engine/Headless/Runtime/DcgoMatch.cs:39,역할기반_재설계,PORTED,Top-level match initialization entry point.
AFM-00036,Phase 4+,기타,BreakGlass,Break,public virtual void Break(),BreakGlass.cs,DCGO/Assets/Scripts/Script/BreakGlass.cs,29,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00037,Phase 4+,기타,BreakGlass,BreakIenumerator,public virtual IEnumerator BreakIenumerator(),BreakGlass.cs,DCGO/Assets/Scripts/Script/BreakGlass.cs,35,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00038,N/A,UI/클라이언트,BurstEffectObject,EvolutionEffectAnimation,"public override IEnumerator EvolutionEffectAnimation(CardSource cardSource, CardSource[] jogressEvoRoots = null, string message = """")",BurstEffectObject.cs,DCGO/Assets/Scripts/Script/BurstEffectObject.cs,16,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00039,N/A,UI/클라이언트,BurstEffectObject,Set_ULTIMATEEVOLUTION,public void Set_ULTIMATEEVOLUTION(),BurstEffectObject.cs,DCGO/Assets/Scripts/Script/BurstEffectObject.cs,31,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00040,N/A,UI/클라이언트,BurstEffectObject,Set_BURSTEVOLUTION,public void Set_BURSTEVOLUTION(),BurstEffectObject.cs,DCGO/Assets/Scripts/Script/BurstEffectObject.cs,36,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00041,N/A,UI/클라이언트,BurstEffectObject,SetMaterialNormalGlow,public void SetMaterialNormalGlow(),BurstEffectObject.cs,DCGO/Assets/Scripts/Script/BurstEffectObject.cs,41,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00042,N/A,UI/클라이언트,BurstEffectObject,SetMaterialLightGlow,public void SetMaterialLightGlow(),BurstEffectObject.cs,DCGO/Assets/Scripts/Script/BurstEffectObject.cs,46,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00043,N/A,UI/클라이언트,BurstEffectObject,PlayChangeTextSE,public void PlayChangeTextSE(),BurstEffectObject.cs,DCGO/Assets/Scripts/Script/BurstEffectObject.cs,51,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00044,N/A,UI/클라이언트,BurstEffectObject,PlayLightningSE,public void PlayLightningSE(),BurstEffectObject.cs,DCGO/Assets/Scripts/Script/BurstEffectObject.cs,59,,,,제외,EXCLUDED,UI/클라이언트 전용; Headless 제외
AFM-00045,Phase 4+,카드/효과,CardController,DiscardHands,public IEnumerator DiscardHands(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,25,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00046,Phase 4+,카드/효과,CardController,Discard,public IEnumerator Discard(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,97,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00047,Phase 4+,카드/효과,CardController,SetJogress,public void SetJogress(int[] jogressEvoRootsFrameIDs),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,136,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00048,Phase 4+,카드/효과,CardController,SetBurst,"public void SetBurst(int BurstTamerFrameID, CardSource card)",CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,144,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00049,Phase 4+,카드/효과,CardController,SetAppFusion,public void SetAppFusion(int[] AppFusionFrameID),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,152,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00050,Phase 4+,카드/효과,CardController,SetShowEffect,public void SetShowEffect(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,160,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00051,Phase 4+,카드/효과,CardController,SetIgnoreLevel,public void SetIgnoreLevel(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,165,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00052,Phase 4+,카드/효과,CardController,SetIgnoreRequirements,public void SetIgnoreRequirements(CardEffectCommons.IgnoreRequirement ignore),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,171,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00053,Phase 4+,카드/효과,CardController,SetFixedCost,public void SetFixedCost(int FixedCost),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,181,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00054,Phase 4+,카드/효과,CardController,SetReducedCost,public void SetReducedCost(int ReducedCost),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,186,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00055,Phase 4+,카드/효과,CardController,SetIsBreedingArea,public void SetIsBreedingArea(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,191,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00056,Phase 4+,카드/효과,CardController,LinkedCard,public CardSource LinkedCard(CardSource card),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,277,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00057,Phase 4+,카드/효과,CardController,PlayCard,public IEnumerator PlayCard(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,296,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00058,Phase 4+,카드/효과,CardController,Hatch,public IEnumerator Hatch(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1067,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00059,Phase 4+,카드/효과,CardController,SetJogress,public void SetJogress(int[] jogressEvoRootsFrameIDs),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1166,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00060,Phase 4+,카드/효과,CardController,SetBurstDigivolved,public void SetBurstDigivolved(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1174,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00061,Phase 4+,카드/효과,CardController,SetAppFusion,public void SetAppFusion(int[] appFusionFrameIDs),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1179,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00062,Phase 4+,카드/효과,CardController,SetIsBreedingArea,public void SetIsBreedingArea(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1188,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00063,Phase 4+,카드/효과,CardController,SetIsHatching,public void SetIsHatching(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1193,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00064,Phase 4+,카드/효과,CardController,SetISPlayOption,public void SetISPlayOption(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1198,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00065,Phase 4+,카드/효과,CardController,PlayPermanent,public IEnumerator PlayPermanent(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1225,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00066,Phase 4+,카드/효과,CardController,UseOption,public IEnumerator UseOption(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1722,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00067,Phase 4+,카드/효과,CardController,Draw,public IEnumerator Draw(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1916,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00068,Phase 4+,카드/효과,CardController,SetNotShowCards,public void SetNotShowCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1980,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00069,Phase 4+,카드/효과,CardController,AddTrashCardsFromLibraryTop,public IEnumerator AddTrashCardsFromLibraryTop(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,1991,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00070,Phase 4+,카드/효과,CardController,AddSecurity,public IEnumerator AddSecurity(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2052,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00071,Phase 4+,카드/효과,CardController,Recovery,public IEnumerator Recovery(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2098,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00072,Phase 4+,카드/효과,CardController,SetUpToMaxCount,public void SetUpToMaxCount(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2130,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00073,Phase 4+,카드/효과,CardController,CanDigiBurst,public bool CanDigiBurst(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2135,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00074,Phase 4+,카드/효과,CardController,DigiBurst,public IEnumerator DigiBurst(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2163,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00075,Phase 4+,카드/효과,CardController,SetNotShowCards,public void SetNotShowCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2280,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00076,Phase 4+,카드/효과,CardController,IsDeckBounced,public bool IsDeckBounced(Permanent permanent),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2285,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00077,Phase 4+,카드/효과,CardController,DeckBounce,public IEnumerator DeckBounce(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2295,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00078,Phase 4+,카드/효과,CardController,SetNotShowCards,public void SetNotShowCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2446,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00079,Phase 4+,카드/효과,CardController,IsDeckBounced,public bool IsDeckBounced(Permanent permanent),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2451,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00080,Phase 4+,카드/효과,CardController,DeckBounce,public IEnumerator DeckBounce(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2461,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00081,Phase 4+,카드/효과,CardController,IsBounced,public bool IsBounced(Permanent permanent),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2612,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00082,Phase 4+,카드/효과,CardController,Bounce,public IEnumerator Bounce(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2622,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00083,Phase 4+,카드/효과,CardController,SetNotShowCards,public void SetNotShowCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2854,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00084,Phase 4+,카드/효과,CardController,PlacePermanentToDigivolutionCards,public IEnumerator PlacePermanentToDigivolutionCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,2867,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00085,Phase 4+,카드/효과,CardController,SetNotShowCards,public void SetNotShowCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,3153,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00086,Phase 4+,카드/효과,CardController,PlacePermanentToLinkCards,public IEnumerator PlacePermanentToLinkCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,3164,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00087,Phase 4+,카드/효과,CardController,LinkCard,public IEnumerator LinkCard(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,3456,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00088,Phase 4+,카드/효과,CardController,PutSecurity,public IEnumerator PutSecurity(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,3519,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00089,Phase 4+,카드/효과,CardController,IsDestroyed,public bool IsDestroyed(Permanent permanent),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,3657,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00090,Phase 4+,카드/효과,CardController,Destroy,public IEnumerator Destroy(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,3667,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00091,Phase 4+,카드/효과,CardController,SecurityCheck,public IEnumerator SecurityCheck(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,3891,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00092,Phase 4+,카드/효과,CardController,IsDestroyed,public bool IsDestroyed(CardSource cardSource),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,4268,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00093,Phase 4+,카드/효과,CardController,DestroySecurity,public IEnumerator DestroySecurity(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,4273,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00094,Phase 4+,카드/효과,CardController,enemyPermanent,public Permanent enemyPermanent(Permanent permanent),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,4443,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00095,Phase 4+,카드/효과,CardController,CompareStats,public int CompareStats(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,4460,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00096,Phase 4+,카드/효과,CardController,Battle,public IEnumerator Battle(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,4474,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00097,Phase 4+,카드/효과,CardController,Degeneration,public IEnumerator Degeneration(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,4801,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00098,Phase 4+,카드/효과,CardController,Degeneration,public IEnumerator Degeneration(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,4968,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00099,Phase 4+,카드/효과,CardController,IsTrashed,public bool IsTrashed(CardSource cardSource),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,5138,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00100,Phase 4+,카드/효과,CardController,TrashDigivolutionCards,public IEnumerator TrashDigivolutionCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,5148,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00101,Phase 4+,카드/효과,CardController,IsTrashed,public bool IsTrashed(CardSource cardSource),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,5253,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00102,Phase 4+,카드/효과,CardController,TrashLinkCards,public IEnumerator TrashLinkCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,5263,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00103,Phase 4+,카드/효과,CardController,ReturnToLibraryBottomDigivolutionCards,public IEnumerator ReturnToLibraryBottomDigivolutionCards(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,5367,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
AFM-00104,Phase 4+,카드/효과,CardController,ReduceSecurity,public IEnumerator ReduceSecurity(),CardController.cs,DCGO/Assets/Scripts/Script/CardController.cs,5425,,,,미정,UNMAPPED,함수 단위 TO-BE 매핑 미정
