stage,area,module,path,responsibility,asis_sources,replaces,public_api,input,output,completion_criteria,priority,notes
Phase 1,Bridge,GManager Bridge,src/HeadlessDCGO.Engine/Headless/Bridge/GManagerBridge.cs,GManager.instance access 대체,GManager.cs,GManager.instance,Turn; Effects; Attack; State; Log,EngineContext,service handle,gameplay 관련 GManager call 전체 매핑,HIGH,UI-only call은 제외 사유 문서화
Phase 1,Bridge,Continuous Context,src/HeadlessDCGO.Engine/Headless/Bridge/ContinuousContext.cs,ContinuousController global option 대체,ContinuousController.cs,ContinuousController.instance; PlayerPrefs,Random; options; deck config,MatchConfig,deterministic config,gameplay-affecting option이 explicit config화,HIGH,숨은 static state 금지
Phase 1,Coroutines,작업 실행기,src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs,Unity coroutine scheduler 대체,AutoProcessing.cs; AttackProcess.cs; CardController.cs,StartCoroutine; StopCoroutine,Run; Step; RunUntilIdle,IEngineTask,task status; event,gameplay sequence가 frame timing에 의존하지 않음,HIGH,후속 effect 포팅 전 필수
Phase 1,Coroutines,Coroutine Adapter,src/HeadlessDCGO.Engine/Headless/Coroutines/CoroutineAdapter.cs,포팅된 IEnumerator flow 수용,AS-IS IEnumerator methods,Unity coroutine scheduler,FromEnumerator,IEnumerator,IEngineTask,remaining gameplay IEnumerator를 deterministic task로 변환,HIGH,migration boundary
Phase 1,Coroutines,대기 조건,src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs,WaitForSeconds와 WaitWhile 의미 대체,WaitForSeconds; WaitWhile,Unity yield instruction,Seconds; Until; IsSatisfied,condition,wait state,wall clock 없이 explicit wait 표현,HIGH,visual delay는 gameplay delay 아님
Phase 1,Choices,선택 요청,src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs,UI 선택 요청을 data로 표현,SelectCardEffect.cs; SelectPermanentEffect.cs; SelectCountEffect.cs; SelectHandEffect.cs,selection popup setup,ChoiceType; candidates; limits; zone,effect/action context,serializable request,모든 gameplay selection이 request로 표현,HIGH,Select*Effect 대체 기준
Phase 1,Choices,선택 결과,src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs,policy 또는 script 선택 결과 표현,Select*Effect.cs; PlayerSelection/*,clicked UI result,Select; SelectCount; Skip,ChoiceRequest,ChoiceResult,선택 결과 검증과 replay 가능,HIGH,AI/RL 이전에도 필요
Phase 1,Choices,선택 제공자,src/HeadlessDCGO.Engine/Headless/Choices/IChoiceProvider.cs,선택 처리를 UI 밖으로 라우팅,Select*Effect.cs,manual UI input,ChooseAsync,ChoiceRequest,ChoiceResult,UI 없이 선택 해결 가능,HIGH,후속 포팅의 필수 인터페이스
Phase 1,Effects,효과 Scheduler,src/HeadlessDCGO.Engine/Headless/Effects/EffectScheduler.cs,AutoProcessing 대체 queue와 resolution orchestration,AutoProcessing.cs; MultipleSkills.cs,coroutine AutoProcessing,Enqueue; ResolveNext; ResolveAll,PendingEffect; EffectContext,EffectResult; events,automatic과 optional effect가 queue로 표현,HIGH,카드 효과 전 선행
Phase 1,Effects,효과 Queue,src/HeadlessDCGO.Engine/Headless/Effects/EffectResolutionQueue.cs,pending effect 순서 보관,AutoProcessing.cs; MultipleSkills.cs,coroutine list와 runtime component queue,Enqueue; TryDequeue; Clear,PendingEffect,ordered pending effects,effect order 기준 고정,HIGH,중심 invariant
Phase 1,Effects,효과 Context,src/HeadlessDCGO.Engine/Headless/Effects/EffectContext.cs,Hashtable payload를 typed context로 대체,GetFromHashtable.cs; HashtableSetting.cs,Hashtable effect args,Source; Owner; Event; Targets; Flags,trigger data,typed context,magic string key 의존 제거,HIGH,카드 효과 포팅 기준
Phase 1,Effects,효과 Registry Contract,src/HeadlessDCGO.Engine/Headless/Effects/EffectRegistry.cs,card와 trigger를 resolver에 매핑,CardEffectFactory; CardEffects; ICardEffect.cs,GetComponent; factory lookup,Register; GetEffects; GetKeywordEffects,card definition; trigger,effect descriptors,효과 lookup이 Unity component에 의존하지 않음,HIGH,신규 구현 대상
Phase 1,Effects,타이밍 윈도우 Contract,src/HeadlessDCGO.Engine/Headless/Rules/TimingWindowResolver.cs,trigger timing과 우선순위 결정,AutoProcessing.cs; TurnStateMachine.cs,coroutine timing gate,OpenWindow; CollectTriggers; SortTriggers,GameEvent; MatchState,trigger batch,effect trigger ordering 기준 고정,HIGH,신규 구현 대상
Phase 1,Services,랜덤 소스,src/HeadlessDCGO.Engine/Headless/Services/IRandomSource.cs,deterministic random과 shuffle 제공,GameRandom.cs; ContinuousController.cs,UnityEngine.Random와 global random,NextInt; NextDouble; Shuffle,seed; list,random value; shuffled list,같은 seed가 같은 trace 생성,HIGH,RL 이전에도 필수
Phase 1,Services,존 이동기,src/HeadlessDCGO.Engine/Headless/Services/IZoneMover.cs,모든 card movement의 단일 mutation boundary,CardController.cs; CardObjectController.cs; Player.cs,Transform 사이 GameObject 이동,Move; AddToHand; AddToTrash; AddToSecurity; Shuffle,ZoneMoveRequest,updated state; event,모든 zone mutation이 이 service 통과,HIGH,GameObject 대체 핵심
Phase 1,Services,카드 Repository,src/HeadlessDCGO.Engine/Headless/Services/ICardRepository.cs,card definition lookup 제공,Assets/CardBaseEntity,ScriptableObject reference,GetCard; Query,card id; filter,CardRecord,card data lookup이 prefab/ScriptableObject에 의존하지 않음,HIGH,DataLoading과 연결
Phase 1,Services,룰 조회 Facade,src/HeadlessDCGO.Engine/Headless/Services/IRuleQueryService.cs,후속 rule port가 붙을 legal action facade,TurnStateMachine.cs; MainPhaseAction/*.cs,button enablement와 UI guard,GetLegalActions; CanPayCost; IsTerminal,MatchState; player id,LegalAction; rule result,rule query 위치가 고정됨,HIGH,구현은 Phase 2 이후 확장
Phase 1,Services,효과 조회 Facade,src/HeadlessDCGO.Engine/Headless/Services/IEffectQueryService.cs,active effect와 restriction query 위치 제공,Effects.cs; PermanentEffectFactory.cs,component scan,GetModifiers; HasRestriction; GetGrantedEffects,state; entity id,effect query result,scene scan 없이 effect query 가능,HIGH,구현은 Phase 3 이후 확장
Phase 1,DataLoading,카드 Database,src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs,converted card definition 로드와 조회,Assets/CardBaseEntity,Resources/ScriptableObject card lookup,Load; GetById; Query,card JSON files,CardRecord,gameplay card data가 Unity 없이 로드,HIGH,image/prefab 제외
Phase 1,DataLoading,카드 JSON 로더,src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs,CardBaseEntity 변환 JSON 읽기,Assets/CardBaseEntity,Unity asset serialization runtime,LoadDirectory; LoadFile,json path,card records,schema validation 가능한 data loading,HIGH,asset conversion 자체는 별도
Phase 1,DataLoading,덱 로더,src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs,match setup용 decklist 로드,DeckCodeUtility.cs; DeckData.cs; SelectDeck.cs,deck UI selection,Load; ParseCode,deck file/code,deck list,deck UI 없이 deck loading 가능,HIGH,후속 setup port의 전제
Phase 1,DataLoading,Banlist 로더,src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs,ruleset legality data 로드,DeckBuildingRule.cs,client-side legality data,Load,banlist data,banlist model,deck validation이 Unity 없이 가능,MEDIUM,Phase 2와 연결
Phase 1,Diagnostics,Trace,src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs,deterministic event trace 기록,PlayLog.cs; Debug.Log,Unity console과 visual log,Record; Snapshot; Clear; Fingerprint,GameEvent; TraceEvent,trace list; fingerprint,동일 실행이 동일 fingerprint 생성,HIGH,parity 전제
Phase 1,Diagnostics,로그 Sink,src/HeadlessDCGO.Engine/Headless/Services/ILogSink.cs,Debug.Log와 PlayLog 대체,Debug.Log; PlayLog.cs,Unity console과 UI log,Info; Warn; Error,message; metadata,log event,diagnostics가 Unity UI에 의존하지 않음,MEDIUM,TMPro 제외
Phase 2,CorePort,턴 상태 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/TurnStateMachine.cs,실제 턴과 phase flow 포팅,TurnStateMachine.cs,MonoBehaviour turn flow,AdvanceTurn; AdvancePhase; GetLegalActions,MatchState; action,phase transition; legal actions,Headless foundation 위에서 실제 phase가 동작,HIGH,Phase 1 완료 후 시작
Phase 2,CorePort,게임 컨텍스트 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/GameContext.cs,AS-IS game context를 state model에 연결,GameContext.cs,Unity scene context,ReadState; WriteState,MatchState,context view,상태 접근이 Headless state model로 연결,HIGH,Phase 1 완료 후 시작
Phase 2,CorePort,플레이어 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/Player.cs,player zone과 memory logic 포팅,Player.cs,Player MonoBehaviour,GetZones; ApplyPlayerMutation,PlayerState,updated player state,player logic이 GameObject 없이 동작,HIGH,Phase 1 완료 후 시작
Phase 2,CorePort,카드 컨트롤러 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs,card movement와 state logic 포팅,CardController.cs,Card GameObject behavior,Move; Reveal; Suspend; Attach,CardInstanceState; ZoneState,card state delta,card movement가 IZoneMover 기준으로 포팅,HIGH,Phase 1 완료 후 시작
Phase 2,CorePort,AutoProcessing 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/AutoProcessing.cs,실제 자동 효과 수집과 해결 포팅,AutoProcessing.cs,coroutine effect processing,Collect; Queue; Resolve,GameEvent; MatchState,PendingEffect; EffectResult,effect scheduler 기준으로 실제 자동 효과 동작,HIGH,Phase 1 완료 후 시작
Phase 2,CorePort,AttackProcess 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/AttackProcess.cs,실제 공격과 security flow 포팅,AttackProcess.cs,attack coroutine/UI flow,Declare; Block; ResolveBattle; SecurityCheck,attacker; target,battle/security result,공격 흐름이 Unity 없이 동작,HIGH,Phase 1 완료 후 시작
Phase 3,SharedEffects,공통 효과 Helper 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons,공통 condition; cost; target; modifier helper 포팅,CardEffectCommons,Hashtable; Unity component helper,typed helper APIs,EffectContext; MatchState,rule/effect helper result,개별 카드 효과가 공통 typed helper 사용,HIGH,Phase 2 이후
Phase 3,SharedEffects,효과 Factory 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory,effect binding과 keyword factory 포팅,CardEffectFactory; PermanentEffectFactory,component/factory lookup,Bind; Create; Resolve,card id; trigger,effect resolver,card effect lookup이 registry 기준으로 동작,HIGH,Phase 2 이후
Phase 4,CardPool,개별 카드 효과 포팅,src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects,card-specific effect 구현,CardEffects; CardEffectFactory/KeyWordEffects,MonoBehaviour/effect component,Resolve,EffectContext,EffectResult,대상 card pool의 효과가 완성,HIGH,Phase 3 이후
Phase 5,RL,RL Adapter,src/HeadlessDCGO.Engine/Headless/Runtime/HeadlessRlEnvironment.cs,완성된 engine을 학습 시스템에 연결,N/A,Unity play loop training surface,Reset; Observe; LegalActions; Step,policy action,RlStepResult,AI/RL이 full match를 수행,MEDIUM,Unity 대체 기반의 선행조건 아님
Phase 6,Verification,Parity Suite,tests/HeadlessDCGO.Engine.Parity,AS-IS scenario와 Headless 결과 검증,Unity curated scenarios,manual client validation,RunScenario; CompareTrace,scenario; replay,parity report,핵심 룰과 효과가 AS-IS와 일치,HIGH,완성 검증 게이트
