source_kind,dependency,category,dotnet_action,path,line,symbol,notes
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatAppSettings.cs,17,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatChannel.cs,17,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatChannel.cs,18,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatClient.cs,16,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatClient.cs,19,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatClient.cs,20,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatPeer.cs,16,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatPeer.cs,19,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/ChatPeer.cs,20,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Code/IChatClientListener.cs,11,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Demos/DemoChat/AppSettingsExtensions.cs,6,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Demos/DemoChat/ChatAppIdCheckerUI.cs,12,Photon.Pun,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Demos/DemoChat/ChatGui.cs,12,Photon.Chat,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Demos/DemoChat/ChatGui.cs,14,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Demos/DemoChat/ChatGui.cs,15,Photon.Chat.AuthenticationValues,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonChat/Demos/DemoChat/ChatGui.cs,17,Photon.Pun,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonLibs/WebSocket/SocketWebTcp.cs,19,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,WebSocketSharp,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonLibs/WebSocket/WebSocket.cs,18,WebSocketSharp,WebSocket transport dependency from Photon stack. Not needed for local headless simulation.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/AppSettings.cs,16,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/AppSettings.cs,19,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/AppSettings.cs,20,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/ConnectionHandler.cs,21,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/CustomTypesUnity.cs,18,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/CustomTypesUnity.cs,19,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Extensions.cs,20,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Extensions.cs,27,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Extensions.cs,28,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/FriendInfo.cs,18,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/FriendInfo.cs,21,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/FriendInfo.cs,22,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/LoadBalancingClient.cs,23,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/LoadBalancingClient.cs,30,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/LoadBalancingClient.cs,31,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/LoadbalancingPeer.cs,22,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/LoadbalancingPeer.cs,29,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/LoadbalancingPeer.cs,30,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,WindowsRuntimeApi,PlatformAPI,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/PhotonPing.cs,23,Windows.Foundation,UWP/Windows API usage. Replace with standard .NET APIs only if transport code is kept.
using,WindowsRuntimeApi,PlatformAPI,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/PhotonPing.cs,24,Windows.Networking,UWP/Windows API usage. Replace with standard .NET APIs only if transport code is kept.
using,WindowsRuntimeApi,PlatformAPI,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/PhotonPing.cs,25,Windows.Networking.Sockets,UWP/Windows API usage. Replace with standard .NET APIs only if transport code is kept.
using,WindowsRuntimeApi,PlatformAPI,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/PhotonPing.cs,26,Windows.Storage.Streams,UWP/Windows API usage. Replace with standard .NET APIs only if transport code is kept.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Player.cs,23,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Player.cs,29,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Player.cs,30,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Region.cs,18,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Region.cs,21,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Region.cs,22,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/RegionHandler.cs,30,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/RegionHandler.cs,37,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/RegionHandler.cs,38,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Room.cs,22,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Room.cs,25,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Room.cs,26,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/RoomInfo.cs,20,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/RoomInfo.cs,23,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/RoomInfo.cs,24,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/SupportLogger.cs,27,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/SupportLogger.cs,35,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/SupportLogger.cs,36,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/WebRpc.cs,20,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/WebRpc.cs,23,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/WebRpc.cs,24,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Code/Unity/Editor/AccountService.cs,25,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonRealtime/Demos/DemoLoadBalancing/ConnectAndJoinRandomLb.cs,8,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/CustomTypes.cs,15,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/CustomTypes.cs,16,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonHandler.cs,16,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonHandler.cs,17,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonNetwork.cs,19,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonNetwork.cs,21,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonNetwork.cs,24,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonNetworkPart.cs,20,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonNetworkPart.cs,22,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonNetworkPart.cs,23,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonNetworkPart.cs,25,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PhotonView.cs,18,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PunClasses.cs,29,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PunClasses.cs,32,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/PunClasses.cs,33,ExitGames.Client.Photon.SupportClass,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/ServerSettings.cs,16,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/ServerSettings.cs,17,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Realtime,UnknownNonSystem,REVIEW,DCGO/Assets/Photon/PhotonUnityNetworking/Code/Editor/PhotonEditor.cs,24,Realtime,Non-System non-Unity namespace or package not covered by known rules. Root=Realtime
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/Editor/PhotonViewHandler.cs,15,Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/Editor/PhotonViewInspector.cs,14,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/Editor/ServerSettingsInspector.cs,14,Photon.Pun,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/Editor/ServerSettingsInspector.cs,16,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/Editor/ServerSettingsInspector.cs,20,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/Interfaces/IPhotonViewCallbacks.cs,3,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Code/Interfaces/IPunCallbacks.cs,5,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/WebRpcImplementationExample.cs,10,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/WebRpcImplementationExample.cs,12,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/Asteroid.cs,14,Photon.Pun.UtilityScripts,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/AsteroidsGameManager.cs,15,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/AsteroidsGameManager.cs,17,Photon.Pun.UtilityScripts,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/AsteroidsGameManager.cs,18,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/Bullet.cs,1,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/PlayerOverviewPanel.cs,15,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/PlayerOverviewPanel.cs,17,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/PlayerOverviewPanel.cs,18,Photon.Pun.UtilityScripts,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/Spaceship.cs,14,Photon.Pun.UtilityScripts,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Game/Spaceship.cs,16,ExitGames.Client.Photon.Hashtable,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Lobby/LobbyMainPanel.cs,1,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Lobby/LobbyMainPanel.cs,2,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Lobby/PlayerListEntry.cs,13,ExitGames.Client.Photon,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Lobby/PlayerListEntry.cs,15,Photon.Realtime,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
using,Photon,Network,REMOVE_OR_REPLACE,DCGO/Assets/Photon/PhotonUnityNetworking/Demos/DemoAsteroids/Scripts/Lobby/PlayerListEntry.cs,16,Photon.Pun.UtilityScripts,Client network dependency. Headless/RL should replace it with deterministic local match/session events.
