port_file	original	port	what_differs
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:5839	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2157	filter first clause `cardSource.IsACE && !cardSource.IsFlipped` becomes `OverflowFor(context,cardSource) > 0`, excluding a battle-area ACE with OverflowMemory 0 that the original includes
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:5847	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2197	OverflowFor applies `Math.Max(0, OverflowMemory)` clamp; original reads `cardSource.OverflowMemory` unclamped
CardController	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/CardController.cs:5845	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardController.cs:2165	memory adjustment now guarded by `if (overflow > 0)`; original calls AddMemory unconditionally for every filtered card
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons.cs:115	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:390	passes `null` for `cardEffect` into `CanPlayAsNewPermanent` instead of forwarding the real `cardEffect` parameter
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons.cs:717	ABSENT	OptionSecurityEffect has no shared-commons port; only reimplemented privately per-card in BT18_098.cs
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons.cs:723	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:2688	drops the `effectDiscription` parameter present in the original signature
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons.cs:772	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:792	a null/empty targetPermanent now invokes failedProcess via Branch(false,...) instead of the original's fully silent yield-break with no callback at all
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons.cs:781	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:857	original overwrites fixedCost with ignoreDigivolutionRequirementFixedCost (discarding fixedCostTuple) whenever ignoreRequirements != None, but the port only skips fixedCostTuple when ignoreDigivolutionRequirementFixedCost >= 0, so it wrongly still applies fixedCostTuple when only ignoreRequirements is set
CardEffectCommons	DCGO/Assets/Scripts/Script/CardEffectCommons.cs:1125	src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons.cs:857	same fixedCostTuple-priority bug as DigivolveIntoHandOrTrashCard, shared via the common DigivolveIntoZoneCoreAsync helper
Permanent	/home/hg/git/headlessDCGO/DCGO/Assets/Scripts/Script/Permanent.cs:60	/home/hg/git/headlessDCGO/src/HeadlessDCGO.Engine/Assets/Scripts/Script/Permanent.cs:568	Original seeds the no-level base to the 1145140 sentinel (TopCard.Level returns it, plus explicit !HasLevel branch); the port seeds TopCard.Level whose no-level sentinel is -1, so the level-less base value differs (-1 vs 1145140) and the explicit sentinel branch is dropped.
Permanent	Permanent.cs:54	Permanent.cs:568	Level original wraps body in `if (TopCard != null)` and returns 0 for null; port dereferences TopCard.Level unguarded (no null path / NRE)
Permanent	Permanent.cs:58	Permanent.cs:568	Level original re-asserts `if (!TopCard.HasLevel) Level = 1145140` no-level sentinel; port omits it, relying on mirror TopCard.Level whose sentinel is -1 (folded upstream in CardSource.Level/PrintedLevel)
Permanent	Permanent.cs:1955	ABSENT	OldIsSuspended public bool field is entirely absent from the port with no functional replacement (IsSuspended is present separately; no OldIsSuspended fold found)
Permanent	Permanent.cs:892	ABSENT	AS-IS DigivolutionOrLinkCards (cardSources.Filter(cs != TopCard)) has no port member; consumed by BT25_085 (BT25_085.cs:197,242)
Permanent	Permanent.cs:1049	Permanent.cs:4708	AS-IS AddCardSource sets the new top face-up/reverse from cardSource.IsFlipped (SetFace/SetReverse); port zone move carries no FaceUp and never threads IsFlipped, so a flipped card added as top is not kept reversed
Permanent	Permanent.cs:1092	Permanent.cs:5222	AS-IS AddDigivolutionCardsTop conditionally SetFace()s each added top source (if !IsFlipped || IsBeingRevealed || IsSecurityLooking); port AddSourcesTopAsync never sets face state on the added sources
Permanent	Permanent.cs:1119	Permanent.cs:4230	AS-IS fires ONE OnAddDigivolutionCards for the whole added batch; port GroupBy(CurrentZoneOf) calls AddSourcesTopAsync per source-zone group, emitting once per zone group [documented design item MIG4-ADDDIGI-MULTIZONE-EMIT]
Permanent	Permanent.cs:1148	Permanent.cs:4785	AS-IS AddDigivolutionCardsBottom re-parents another permanent whose TopCard is the added card via IPlacePermanentToDigivolutionCards (with Placed-check continue); port DetachEmbeddedSourceOrLinkAsync throws NotSupportedException for any live top on the direct path [design item MIG4-DETACH-LIVE-TOP]
Permanent	Permanent.cs:1176	Permanent.cs:4785	AS-IS AddDigivolutionCardsBottom special-cases added==own TopCard (RemoveFromAllArea + ShowPermanentData + RemoveDigivolveRootEffect); port DetachEmbeddedSourceOrLinkAsync throws for the host's own live top instead of emitting RemoveDigivolveRootEffect [design item MIG4-DETACH-LIVE-TOP]
Permanent	Permanent.cs:1073	Permanent.cs:5701	AS-IS isFromSameDigimon = cardSources.Contains(card) (top, source OR link); port ComputeAddDigivolutionFromFlags only checks sourceIds, so moving the host's OWN link card into digivolution sources yields isFromSameDigimon=false where AS-IS is true
Permanent	Permanent.cs:1223	Permanent.cs:4484	AS-IS AddDigivolutionCardsBottom fires ONE OnAddDigivolutionCards for the batch; port GroupBy(CurrentZoneOf) calls AddSourcesBottomAsync per source-zone group, emitting once per zone group [documented design item MIG4-ADDDIGI-MULTIZONE-EMIT]
Permanent	Permanent.cs:1251	Permanent.cs:4553	AS-IS AddLinkCard overflow test is (LinkedCards.Count >= LinkedMax); port adds && preLinked.Count >= 1, changing control flow when LinkedMax<=0 with no links (AS-IS would index LinkedCards[0] and throw; port no-ops)
Permanent	Permanent.cs:1237	Permanent.cs:4579	Port AddLinkCard calls CEntity_EffectControllerStore.ResetUseCountForCard on the attached card; AS-IS AddLinkCard body (1237-1292) has no InitUseCountThisTurn/use-count reset (comment attributes it to CardController.cs:3393, a different AS-IS method)
Permanent	Permanent.cs:1334	Permanent.cs:4108	AS-IS passes maxCount:removeCount (unclamped) as the SelectCardEffect selection max; port passes clamped maxCount=Min(removeCount,linked.Count) as both min and max of the ChoiceRequest, diverging when removeCount > available links
Permanent	Permanent.cs:1341	Permanent.cs:4109	AS-IS RemoveLinkedCard selectPlayer = TopCard.Owner; port uses OwnerId (permanent controller), which can differ under control-change
Permanent	Permanent.cs:1310	Permanent.cs:5007	AS-IS RemoveLinkedCard does LinkedDP -= LinkDP with no floor; port RemoveLinkCardAsync floors with Math.Max(0, LinkedDp - linkDp)
Permanent	Permanent.cs:1958	ABSENT	DPWhenSuspended public int field (sentinel default 114514) is entirely absent from the port; sentinel 114514 not present anywhere in port file
Permanent	Permanent.cs:3611	ABSENT	Names_ForDNA (CardNames seed + IAddDNANamesEffect GetDNANames scan over field permanents and players) has no consumer in the port; interface IAddDNANamesEffect.GetDNANames is declared (CardEffectInterfaces.cs:620-622) but never called anywhere in src, so the aggregator method is unimplemented.
Permanent	DCGO/Assets/Scripts/Script/Permanent.cs:3934	ABSENT	IsAddedAsSourceByAppFusion field not ported; AS-IS has no .cs reader/writer either (only the field decl, dead), so omission is harmless
Permanent	DCGO/Assets/Scripts/Script/Permanent.cs:3962	src/HeadlessDCGO.Engine/Assets/Scripts/Script/Permanent.cs:2021	DigivolutionCardsColors folds mirror string colors through CardSource.ToCardColorList and drops the trailing redundant .Distinct() (both loops already dedupe via Contains, so result-equivalent)
