tobe_path,비고1
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceOption.cs,"AS-IS 무대응 순수 substrate — ChoiceCandidate를 에이전트에 노출하는 축약 옵션 레코드(선택 UI 표시용 데이터 캐리어, AS-IS 대응 코드 없음)"
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceRequest.cs,"AS-IS SelectPermanentEffect.SetUp의 3단 검증기 구조(canTargetCondition/canEndSelectCondition/canTargetCondition_ByPreSelecetedList, SelectPermanentEffect.cs 주석 인용)를 옮긴 선택 요청 레코드 — SelectionValidator/PartialPickGate가 AS-IS 해당 델리게이트에 1:1 대응하는 게임로직 재하우징"
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceResult.cs,"AS-IS SelectHandEffect/SelectPermanentEffect의 확인(confirm)/스킵 판정과 CanEndSelect 조합 검증을 옮긴 결과 검증 레코드 — Validate()가 AS-IS SelectionValidator(CanEndSelect) 게이트를 재현하는 게임로직 재하우징(AS-IS UI 확인 버튼 활성화 조건과 동일 판정)"
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceType.cs,"AS-IS 각 선택 이펙트 종류(SelectHandEffect/SelectPermanentEffect/UserSelectionManager/RevealDeckTopCardsAndSelect/TurnStateMachine 브리딩 판정 등, 주석이 각 항목마다 AS-IS 원본을 인용)를 나열하는 열거형 — AS-IS 다수의 서로 다른 선택 이펙트 클래스를 하나의 판별자로 재하우징"
src/HeadlessDCGO.Engine/Headless/Choices/ChoiceZone.cs,"AS-IS 카드 존(Library/Trash/Clock/Security/Hand/Recollection/BattleArea/BreedingArea/DigitamaLibrary 등, CardController/DeckData 등에서 쓰이는 존 구분)을 옮긴 열거형 — AS-IS 존 개념의 headless 재현"
src/HeadlessDCGO.Engine/Headless/Choices/IChoiceProvider.cs,"AS-IS 무대응 순수 substrate — 에이전트(플레이어/AI)에게 선택을 묻고 답을 받는 headless 비동기 인터페이스(AS-IS는 Unity UI 이벤트/코루틴으로 동기 대기하므로 코드 대응 없음, headless화 실행 인프라)"
src/HeadlessDCGO.Engine/Headless/Choices/PolicyChoiceProvider.cs,"AS-IS 무대응 순수 substrate — 정책 델리게이트 기반 IChoiceProvider 구현(스킵 우선/MinCount 자동선택 등 단순 기본값), AS-IS 대응 없는 headless 테스트/기본 실행 인프라"
src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs,"AS-IS SelectPermanentEffect.cs:629-684 AI 분기의 유한 크기 무작위 재시도(bounded 200회) 및 SelectHandEffect 강제선택 무산 규약을 결정론적으로 재현한 스크립트 선택 제공자 — CreateFallbackChoice가 AS-IS AI auto-select 로직을 옮긴 게임로직 재하우징(큐잉 기능 자체는 headless 테스트 substrate)"
src/HeadlessDCGO.Engine/Headless/Coroutines/CoroutineAdapter.cs,"AS-IS 무대응 순수 substrate — Unity IEnumerator 코루틴(yield return)을 headless IEngineTask 스텝 모델로 실행하는 어댑터(AS-IS 게임로직의 코루틴 문법을 그대로 실행하기 위한 펌프 배관, 로직 자체는 옮기지 않음)"
src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs,"AS-IS 무대응 순수 substrate — Unity MonoBehaviour의 프레임별 코루틴 스케줄러(StartCoroutine/Update 펌프)를 대체하는 headless 태스크 큐 실행기(대기조건 만족까지 스텝 반복); AS-IS 게임로직이 아닌 실행 인프라"
src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs,"AS-IS 무대응 순수 substrate — Unity의 WaitForSeconds/WaitUntil 코루틴 대기 지시자를 대체하는 headless 대기조건 값 타입(시간 기반은 즉시-충족 처리, 서술자 기반은 predicate 평가); 실행 펌프를 위한 배관"
src/HeadlessDCGO.Engine/Headless/Coroutines/IEngineTask.cs,"AS-IS 무대응 순수 substrate — Unity 코루틴의 헤드리스 실행 계약(Status/CurrentWait/StepAsync)과 스텝 결과 레코드를 정의하는 인터페이스; CoroutineAdapter/EngineTaskRunner가 이 계약으로 AS-IS 코루틴 로직을 구동하는 순수 실행 인프라"
src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs,"AS-IS BanList/Restrictions/Pair(DeckBuildingRule.cs:215-259, ContinuousController.cs:125·147 JsonUtility.FromJson<BanList>로 웹에서 JSON 로드)의 카드-매수 제한 개념을 텍스트 라인 포맷(카드id 수량)으로 재구현한 헤드리스 로더 — AS-IS의 JSON/BanList 구조를 새 포맷·새 위치로 옮긴 발명적 재하우징(카드당 제한수 판정 로직은 DeckBuildingRule.MaxCount_BanList와 동일 개념)"
src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs,"AS-IS 무대응 순수 substrate에 가까운 데이터로딩 배관 — AS-IS 카드 원자료는 Unity CEntity_Base 계열 ScriptableObject/프리팹 자산(코드 파일 대응 없음)이므로, 이를 대체할 임의 스키마의 카드 JSON 파일을 CardRecord로 파싱하는 headless 전용 로더(테스트/보조 경로); 카드 스탯 로딩이라는 목적만 AS-IS CEntity_Base 자산 로딩과 대응"
src/HeadlessDCGO.Engine/Headless/DataLoading/CardBaseEntityLoader.cs,"AS-IS 카드 원자료(Unity CEntity_Base 계열 ScriptableObject/프리팹 자산, tools/CardDataConverter가 변환해 embedded cards.json으로 내보냄, 파일 주석 G6-003 명시)를 읽어 CardDatabase에 채우는 headless 로더 — AS-IS 자산 기반 카드 스탯(DP/코스트/색/레벨/진화조건 등)을 JSON 경유로 옮긴 데이터 이관 substrate"
src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs,"AS-IS DataBase.cs(MonoBehaviour 싱글턴, 카드종류/색상 이름 사전 등 정적 데이터 보관)에 대응하는 headless 카드 저장소 — ICardRepository 위에 얇게 얹은 CRUD 파사드(InMemoryCardRepository 위임), Unity 싱글턴을 DI 가능한 저장소로 재하우징한 substrate"
src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs,"AS-IS DeckData/DeckCodeUtility(DeckData.cs, DeckCodeUtility.cs — 덱코드 문자열↔카드리스트 변환)의 덱 목록 개념을 텍스트 라인 포맷(카드id 수량, [Main]/[Digitama] 섹션)으로 재구현한 headless 로더 — AS-IS 덱코드 파싱 로직을 새 포맷·새 위치로 옮긴 발명적 재하우징"
src/HeadlessDCGO.Engine/Headless/DataLoading/DeckValidationSmoke.cs,"AS-IS 무대응 순수 substrate — 아래 DeckValidator를 실행해보는 스모크 테스트용 고정 데이터/시나리오 헬퍼(TODO 주석: 테스트 인프라 준비되면 이관 예정), 프로덕션 게임로직이 아닌 headless 검증 배선"
src/HeadlessDCGO.Engine/Headless/DataLoading/DeckValidator.cs,"AS-IS DeckBuildingRule(DeckBuildingRule.cs: IsValidDeck/CanAddCard/MaxCount_BanList — 덱 매수 상한(main=50/digitama=5는 CanAddCard 하드코딩), 밴리스트 매수 제한, DeckData.cs:692의 덱 카드수 검증)을 옮긴 headless 덱 검증기 — 섹션별 매수 상한·밴리스트 초과·미지 카드 검사 로직이 AS-IS 판정을 새 클래스로 재구현한 발명적 재하우징"
src/HeadlessDCGO.Engine/Headless/DataLoading/StarterDecks.cs,"AS-IS StarterDeck.cs(MonoBehaviour, StarterDeckData.DeckCode를 ShuffleDeckCode.GetDeckCode로 풀어 DeckData 등록)의 ST1/ST2/ST3 공식 스타터덱 카드구성표를 옮긴 headless 정적 데이터 — AS-IS의 씬-주입 방식 대신 하드코딩된 카드번호·수량 테이블로 재구현한 발명적 재하우징(카드 실물 구성 데이터 자체는 AS-IS 공식 목록과 동일)"
src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs,"AS-IS 무대응 순수 substrate — 매치 실행 중 이벤트를 기록하고 SHA256 지문을 내는 headless 진단/재현성 로깅 배관(퍼징·회귀 비교용); AS-IS엔 대응하는 트레이스 로깅 코드 없음, headless 전용 관측 인프라"
