relpath,verdict,consumers,evidence
CardEffect/TestFixtures/TfxExecute.cs,FIXTURE-OK,"A4-Execute.Tests;G3.5-C910.ExecuteCollision.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxFortitude.cs,FIXTURE-OK,"C-Del-POST.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxHatch.cs,FIXTURE-OK,"G9-018.HatchDigiEgg.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxIgnoreBattle.cs,FIXTURE-OK,"FAILd-05.DontBattleSecurity.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxImmuneDeDigivolve.cs,FIXTURE-OK,"FAILb-02.ImmuneFromDeDigivolve.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxImmuneStackTrashing.cs,FIXTURE-OK,"G9-040.W4Batch1d.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxKeywords.cs,FIXTURE-ORPHAN,"","Header cites tests/GR-005 but that suite has NO .cs source (only stale bin/obj); 0 live refs"
CardEffect/TestFixtures/TfxMainDeclareDraw.cs,FIXTURE-OK,"B2-MainSkillDeclare.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxMainDigiBurstDraw.cs,FIXTURE-OK,"B2-MainSkillDeclare.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxMainDisc.cs,FIXTURE-OK,"FAILa-13.OptionMainDiscriminator.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxMainOptionalDraw.cs,FIXTURE-OK,"B2-MainSkillDeclare.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxMainTraining.cs,FIXTURE-OK,"G3.5-C5.SaveMaterialTraining.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxMaterialSave.cs,FIXTURE-OK,"C-Del-3C2B-Witness.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxMaxTrashXros.cs,FIXTURE-OK,"PRIM.MaxTrashDigiXros.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxMaxUnderTamerXros.cs,FIXTURE-OK,"PRIM.MaxUnderTamerDigiXros.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxMultiSelect.cs,FIXTURE-OK,"G12-002.MultiChoiceActivationE2E.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnAddCounter.cs,FIXTURE-OK,"F1-Tier1-OnAdd.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnAddCounterOpp.cs,FIXTURE-OK,"F1-Tier1-OnAdd.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnAllyAttackCounter.cs,FIXTURE-OK,"F1-Tier2-OnEndAttack.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnAttackTargetChangedCounter.cs,FIXTURE-OK,"F1-Tier2-OnAttackTargetChanged.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnDeleteGainMemory.cs,FIXTURE-OK,"RD11-PerEventFire.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnEndAttackCounter.cs,FIXTURE-OK,"F1-Tier2-OnEndAttack.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnEndAttackCounterNoGate.cs,FIXTURE-OK,"F1-Tier2-OnEndAttack.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnKnockOutDeleteOpponent.cs,FIXTURE-OK,"G3.5-D1.PiercingSecurityBattle.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnLeaveFieldCounter.cs,FIXTURE-OK,"A8G2-SecurityFinisherLeave.Witness.Tests;D1-BatchId.Tests;D1-CrossBatchOrder.Tests;D2-Witness.Tests;F1-Tier1-OnAdd.Tests;G3.5-F62.PhaseTimingEmission.Tests;G3.5-W1b.TimingEventEmission.Tests;R2-DeletionPipeline.Tests;RD11-PerEventFire.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 9 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnLoseSecurityCounter.cs,FIXTURE-OK,"F1-M1-OnLoseSecurity.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnMoveSelfDraw.cs,FIXTURE-OK,"F1-M2-OnMove.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnPlayGainMemory.cs,FIXTURE-OK,"BT23.PrimTranche5.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnReturnToHandCounter.cs,FIXTURE-OK,"D2-Witness.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnSecurityCheckDraw.cs,FIXTURE-OK,"G3.5-D1.PiercingSecurityBattle.Tests;G3.5-W4.SecurityEffectWiring.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnSecurityCheckSelect.cs,FIXTURE-OK,"P1r-SecCheckInteractive.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOnUseOptionMemory.cs,FIXTURE-OK,"BT23.PrimTranche1.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOncePerTurnInteractiveTrash.cs,FIXTURE-OK,"B1-OncePerTurnInteractiveResume.Tests;B3-RestackUseReset.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxOncePerTurnOptionalTrash.cs,FIXTURE-OK,"B1-OncePerTurnInteractiveResume.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOncePerTurnOptionalTrashNoRefund.cs,FIXTURE-OK,"B1-OncePerTurnInteractiveResume.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOppSuspendMemory.cs,FIXTURE-OK,"PRIM.TriggeredActivatedBridge.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOptionDraw.cs,FIXTURE-OK,"PRIM-P0.PlayOption.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOptionForbidsSelf.cs,FIXTURE-OK,"E3-Witness.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOptionIgnoreColor.cs,FIXTURE-OK,"FAILd-06.CannotIgnoreDigivolve.Tests;RD2-OptionColor.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxOptionalMemory.cs,FIXTURE-OK,"RD13-OptionalGate.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxOverclock.cs,FIXTURE-OK,"C-EoT2.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxPierceWouldBeDeletedInteractive.cs,FIXTURE-OK,"C5-SecurityPreWindow.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxPlayCard.cs,FIXTURE-OK,"G9-019.PlayCard.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxPlayOption.cs,FIXTURE-OK,"PRIM-P0.PlayOption.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxQueryMappingSmoke.cs,FIXTURE-ORPHAN,"","Static compile-smoke for query mappings; 0 live refs repo-wide; uses public reader interfaces only"
CardEffect/TestFixtures/TfxRaidOnly.cs,FIXTURE-OK,"C-Atk-Raid.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxSave.cs,FIXTURE-OK,"C-Del-POST.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxSecurityDpBuff.cs,FIXTURE-OK,"SEC-FaceUpSecuritySource.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxSecuritySelect.cs,FIXTURE-OK,"G12-004.SecuritySkillDeferredE2E.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxSelectDigivolve.cs,FIXTURE-OK,"PRIM-P0.SelectDigivolve.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxSelectFollowUp.cs,FIXTURE-OK,"PRIM-P0.SelectFollowUp.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxSelectMode.cs,FIXTURE-OK,"BT3-Behavior.Witness.Tests;PRIM-P0.ModeChoice.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxUnsuspendDraw.cs,FIXTURE-OK,"PRIM.TriggeredActivatedBridge.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxVortex.cs,FIXTURE-OK,"C-EoT2.Tests;G9-008.OnEndTurnVortexRegistration.Tests;GR-006.EndOfTurnEffectAttack.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 3 live consumer suite(s)"
CardEffect/TestFixtures/TfxWhenAttackDraw.cs,FIXTURE-OK,"PRIM.TriggeredActivatedBridge.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxWhenDeclareDraw.cs,FIXTURE-OK,"PRIM.TriggeredActivatedBridge.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxWhenDigivolveDelete.cs,FIXTURE-OK,"G9-009.WhenDigivolveDynamicDelete.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxWhenLinkedCounter.cs,FIXTURE-OK,"F1-Tier2-WhenLinked.Tests;G3.5-W1b.TimingEventEmission.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 2 live consumer suite(s)"
CardEffect/TestFixtures/TfxWinBattleDraw.cs,FIXTURE-OK,"PRIM.TriggeredActivatedBridge.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxWouldBeDeleted.cs,FIXTURE-OK,"C-Del-3C1B-BattlePre.Tests;C-Del-3C1C-SecurityPre.Tests;C-Del-3C2A-DormantSurvival.Tests;C-Del-3C2B-Witness.Tests;C-Del-3C2BP-Witness.Tests;C-Del-PRE.Tests;G9-069.W6SuccessProcess.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 7 live consumer suite(s)"
CardEffect/TestFixtures/TfxWouldBeDeletedB.cs,FIXTURE-OK,"C-Del-3C2BP-Witness.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 1 live consumer suite(s)"
CardEffect/TestFixtures/TfxWouldBeDeletedByBattle.cs,FIXTURE-OK,"C-Del-3C1B-BattlePre.Tests;C-Del-3C1C-SecurityPre.Tests;C5-SecurityPreWindow.Tests","Tfx-prefix synthetic fixture (not a real card ID); extends CEntity_Effect; effects via public CardEffectFactory/ActivateClass/EffectMutation; no reflection/state hacks; 3 live consumer suite(s)"
