tobe_path,verdict,diff_count,summary
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/CanNotBeDeletedByBattle.cs,1to1,0,"대조 심볼 1개(GainCanNotBeDeletedByBattle) 전부 일치(substrate 번역만: IEnumerator->bool, IsPermanentExistsOnBattleArea가 zone reader 직접조회로, CreateBuffEffect VFX 제거)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/KeyWordEffects/Vortex.cs,1to1,0,"대조 심볼 2개(VortexSelfEffect/VortexEffect) 전부 일치(substrate 번역만: card.PermanentOfThisCard()->ICardEffect.ResolvePermanentOfThisCard, IEnumerator->Task 위임)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/KeyWordEffects/Save.cs,non,1,"CanActivateSave/MatchConditionPermanentCount/HasMatchConditionPermanent에 AS-IS에 없는 CardSource card 파라미터가 신설되어 전역(양측 플레이어) 스캔의 범위 결정 방식이 바뀜(EnumerateFieldPermanentViews(card,...) 스코프 조회); AS-IS의 단일-인자 전역 스캔과 동치임을 이 파일만으로 확신 불가"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectFactory/CanNotBeAttacked.cs,1to1,0,"대조 심볼 1개(CanNotBeAttackedSelfStaticEffect) 전부 일치(substrate 번역만: card.PermanentOfThisCard()->ICardEffect.ResolvePermanentOfThisCard)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/MinMax_DP_Cost_Level/Level/IsMinLevel.cs,non,1,"IsMinLevel: AS-IS는 permanent.TopCard.Owner!=owner 체크 후 IsPermanentExistsOnOwnerBattleAreaDigimon(permanent, permanent.TopCard)(소유자-연동 검사)를 호출; TO-BE는 permanent.OwnerId!=owner 체크로 대체하고 IsPermanentExistsOnBattleAreaDigimon(permanent)(소유자 비연동 검사)로 술어 자체가 바뀜 — 두 조합이 항상 동치인지 이 파일만으로 확신 불가"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPlayer/IgnoreDigivolutionRequirement.cs,1to1,0,"대조 심볼 1개(GainIgnoreDigivolutionRequirementPlayerEffect) 전부 일치(순수 substrate 래핑, 코루틴 없음)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnTrashBySelfDigiBurst.cs,1to1,0,"대조 심볼 1개(CanTriggerOnTrashBySelfDigiBurst) 전부 일치(substrate 번역만: PermanentOfThisCard()->ICardEffect.ResolvePermanentOfThisCard)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/GiveEffect/GiveEffectToPermanent/ChangeDP.cs,non,1,"TO-BE는 AS-IS 시그니처를 그대로 둔 채 본문 전체(CanUseCondition/ChangeDPClass 생성/AddEffectToPermanent/CreateBuffEffect·DebuffEffect 분기)를 다른 파일의 오버로드 ChangeDigimonDP(...,CardSource,ICardEffect)로 위임; 실제 로직이 이 파일에 없어 등가를 이 파일만으로 확인 불가"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/RebootClass.cs,1to1,0,"대조 심볼 2개(SetUpRebootClass/HasReboot) 전부 일치(코드 완전 동일, 네임스페이스 선언만 추가)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/MainPhaseAction/AttackPermanentAction.cs,non,1,"TO-BE는 AS-IS의 byte[] 생성자, Deserialize(byte[]), Serialize() 메서드 3개를 전부 삭제(Photon 전송 스트립 주석은 있으나 대체 구현 없이 순수 삭제); Execute만 남고 IGamePacket 계약 자체가 미이행"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddEvolutionConditionClass.cs,1to1,0,"대조 심볼 2개(SetUpAddDigivolutionRequirementClass/GetEvoCost) 전부 일치(코드 완전 동일, 네임스페이스 선언만 추가)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/AddAssemblyConditionClass.cs,1to1,0,"대조 심볼 2개(SetUpAddAssemblyConditionClass/GetAssemblyCondition) 전부 일치(코드 완전 동일, 네임스페이스 선언만 추가)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffects/DisableEffectClass.cs,1to1,0,"대조 심볼 2개(SetUpDisableEffectClass/IsDisabled) 전부 일치(코드 완전 동일, 네임스페이스 선언만 추가)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/CardEffectCommons/CanUseEffects/OnUnsuspend.cs,1to1,0,"대조 심볼 2개(CanTriggerWhenSelfPermanentUnsuspends/CanTriggerWhenPermanentUnsuspends) 전부 일치(코드 완전 동일, 네임스페이스 선언만 추가)"
src/HeadlessDCGO.Engine/Assets/Scripts/Script/Networking/IGamePacket.cs,non,1,"TO-BE는 7줄 스켈레톤 주석뿐; AS-IS의 IGamePacket 인터페이스(Serialize/Deserialize 계약) 자체가 미이행"
