asis_path,비고1
DCGO/Assets/Scripts/Script/Networking/PhotonTester.cs,"키 입력으로 Photon 리전 연결을 시험하는 개발용 네트워킹 테스터—게임규칙 무관"
DCGO/Assets/Scripts/Script/OffAnimation.cs,"gameObject 비활성화 가상메서드만 든 UI 패널 베이스 MonoBehaviour—연출 기반 클래스라 미포팅"
DCGO/Assets/Scripts/Script/OpenURL.cs,"Application.OpenURL로 링크/트윗 여는 외부링크 헬퍼—게임규칙 무관"
DCGO/Assets/Scripts/Script/Opening.cs,"오프닝 씬 총괄 MonoBehaviour(로딩·레이캐스트 호버·YesNo 패널·클릭이펙트·배경)—규칙은 ContinuousController/엔진에 있고 이건 씬 표시 오케스트레이션"
DCGO/Assets/Scripts/Script/OpeningButton.cs,"선택 오브젝트 표시·SE 재생하는 오프닝 버튼 UI 컴포넌트—입력/연출만"
DCGO/Assets/Scripts/Script/OptionPanel.cs,"볼륨·창크기·언어 등 하위 옵션 패널을 여닫는 상위 옵션창 UI 매니저—게임규칙 로직 없음"
DCGO/Assets/Scripts/Script/OptionUtility.cs,"Toggle 초기화·값변경시 저장/SE 재생을 감싸는 옵션 UI 헬퍼—표시/설정 저장 유틸"
DCGO/Assets/Scripts/Script/PatchBackground.cs,"StreamingAssets에서 배경 스프라이트 로드해 Image에 넣는 표시 컴포넌트—연출/에셋 로드"
DCGO/Assets/Scripts/Script/PatchNotes.cs,"패치노트 패널 여닫기·외부 URL 열기·현지화 문구 세팅하는 UI 패널—게임규칙 무관"
DCGO/Assets/Scripts/Script/PlayLog.cs,"플레이 로그 텍스트 표시·카드ID 링크화·클릭시 카드상세 오픈—엔진 상태(ActiveCardList)를 읽어 표시할 뿐 규칙 계산 없음"
DCGO/Assets/Scripts/Script/PlayerInfo.cs,"플레이어명 InputField·승수 Text를 세팅/저장하는 프로필 UI—표시/PlayerPrefs 저장만"
DCGO/Assets/Scripts/Script/PlayerPrefsUtil.cs,"Unity PlayerPrefs bool/객체/리스트 직렬화 저장·로드 래퍼—로컬 영속화 유틸이라 헤드리스 무관"
DCGO/Assets/Scripts/Script/PointerShine.cs,"포인터 진입/이탈시 Image.color를 바꾸는 호버 연출 컴포넌트—순수 UI"
DCGO/Assets/Scripts/Script/ProfanityFilter/AllowList.cs,"비속어필터 허용목록(추가/포함/삭제) 데이터 자료구조—플레이어명 검열용 라이브러리라 대전 규칙 아님"
