tobe_path,분류,근거
src/HeadlessDCGO.Engine/Headless/Choices/IChoiceProvider.cs,Photon대체,선택 입력 공급자 인터페이스
src/HeadlessDCGO.Engine/Headless/Choices/PolicyChoiceProvider.cs,Photon대체,정책 함수 기반 자동 선택 입력 공급자(플레이어 입력 UI 대체)
src/HeadlessDCGO.Engine/Headless/Choices/ScriptedChoiceProvider.cs,Photon대체,사전 스크립트되거나 폴백 규칙으로 자동 응답하는 선택 입력 공급자(테스트·결정론 입력 배관)
src/HeadlessDCGO.Engine/Headless/Coroutines/CoroutineAdapter.cs,Unity대체,Unity IEnumerator 코루틴을 headless IEngineTask로 어댑팅
src/HeadlessDCGO.Engine/Headless/Coroutines/EngineTaskRunner.cs,Unity대체,Unity 코루틴 스케줄러(StartCoroutine 루프)를 대체하는 태스크 큐 실행기
src/HeadlessDCGO.Engine/Headless/Coroutines/EngineWaitCondition.cs,Unity대체,Unity yield/WaitForSeconds 등 코루틴 대기조건을 대체하는 타입
src/HeadlessDCGO.Engine/Headless/Coroutines/IEngineTask.cs,Unity대체,Unity 코루틴 태스크(IEnumerator 기반 실행단위)를 대체하는 인터페이스
src/HeadlessDCGO.Engine/Headless/DataLoading/BanlistLoader.cs,Unity대체,밴리스트 텍스트 파일을 파싱해 카드id→제한수 맵으로 적재하는 자산 로딩(판정은 소비측 DeckValidator가 수행)
src/HeadlessDCGO.Engine/Headless/DataLoading/CardAssetJsonLoader.cs,Unity대체,카드 JSON 자산 파일을 파싱해 CardRecord로 적재하는 자산 로딩
src/HeadlessDCGO.Engine/Headless/DataLoading/CardBaseEntityLoader.cs,Unity대체,내장 리소스(cards.json)에서 카드 스탯 데이터를 로드해 CardDatabase에 적재; Unity Resources.Load류 자산 로딩의 대체
src/HeadlessDCGO.Engine/Headless/DataLoading/CardDatabase.cs,Unity대체,카드 레코드 인메모리 저장소 홀더(조회/삽입만 위임)
src/HeadlessDCGO.Engine/Headless/DataLoading/DeckListLoader.cs,Unity대체,덱리스트 텍스트를 파싱해 DeckList 레코드로 적재하는 자산 로딩
src/HeadlessDCGO.Engine/Headless/DataLoading/DeckValidationSmoke.cs,other,DeckValidator(덱 합법성 판정기)를 하드코딩 픽스처 데이터로 실행하는 스모크 테스트 하네스; 파일 자체 주석도 테스트 인프라로의 이관 대상임을 명시하며 Unity/Photon/RL 어느 정당 사유에도 속하지 않는 테스트 스캐폴딩
src/HeadlessDCGO.Engine/Headless/DataLoading/DeckValidator.cs,other,덱 최소/최대 매수·밴리스트 카드당 매수 제한 초과·미등록 카드 여부 등 덱 합법성을 계산·판정하는 게임 규칙 로직
src/HeadlessDCGO.Engine/Headless/DataLoading/StarterDecks.cs,Unity대체,ST1/ST2/ST3 공식 스타터덱 카드 구성을 담은 정적 데이터 테이블 홀더; 계산 없이 수량만큼 전개
src/HeadlessDCGO.Engine/Headless/Diagnostics/EngineTrace.cs,RL api,매치 이벤트 기록과 SHA256 지문(재현성 검증)을 제공하는 결정론/재현 infra
