tobe_path,분류,근거
src/HeadlessDCGO.Engine/Headless/Services/ZoneMoveResult.cs,Unity대체,존 이동 결과 데이터 레코드(요청+이벤트+전후 카드 목록); 순수 데이터 홀더
src/HeadlessDCGO.Engine/Headless/State/CardIdentityAdapter.cs,Unity대체,카드 인스턴스 바인딩/생성/배치/이동/공개-비공개/소스부착 상태 조작 어댑터; 소유자 불일치 등 구조적 무결성 검증만 하고 게임 규칙 판정 없음
src/HeadlessDCGO.Engine/Headless/State/CardInstanceState.cs,Unity대체,카드 인스턴스 상태 레코드(정지/공개/소스/모디파이어/플래그)+불변식 검증; 순수 상태 컨테이너
src/HeadlessDCGO.Engine/Headless/State/DigivolutionStack.cs,Unity대체,디지볼루션 스택 순서/역할 데이터 레코드+구조 불변식 검증(중복/Top 위치); DP/레벨 계산 없이 저장만
src/HeadlessDCGO.Engine/Headless/State/DigivolutionStackReader.cs,Unity대체,저장된 sourceIds 메타데이터를 DigivolutionStack 타입 뷰로 투영하는 순수 리더(+캐시); 레벨/DP는 저장된 값을 파싱해 읽기만 하고 계산하지 않음
src/HeadlessDCGO.Engine/Headless/State/DpCalculator.cs,other,베이스DP에 Relative/Absolute DpModifier를 순서대로 폴드해 유효 DP를 계산(0 클램프 포함); 게임 규칙 계산 로직
src/HeadlessDCGO.Engine/Headless/State/DpModifier.cs,Unity대체,DP 모디파이어 데이터 레코드(Value/Kind/ActivatedOrder/Source)+타입 판별 프로퍼티; DpCalculator가 소비하는 순수 데이터 홀더, 계산은 없음
src/HeadlessDCGO.Engine/Headless/State/GameContextStateAccessor.cs,Unity대체,턴/페이즈/메모리/ActiveCardIds 등 GameContext 필드 컨테이너+Read/Write 접근자; SwitchTurnPlayer도 상대 플레이어 선택만 하는 기계적 전환
src/HeadlessDCGO.Engine/Headless/State/MatchState.cs,Unity대체,플레이어/카드인스턴스/이벤트 불변 상태 컨테이너+MoveCard 등 상태 전이 메커니즘; 합법성/승패 판정 없음
src/HeadlessDCGO.Engine/Headless/State/PermanentBookkeepingStore.cs,Unity대체,AS-IS Permanent 객체의 PlayingEffect/LevelJustAfterPlayed 등 필드를 담는 match-scoped 컨테이너(Get/Reset/ReKey); 순수 저장·수명 관리
src/HeadlessDCGO.Engine/Headless/State/PlayerRuleAdapter.cs,other,덱아웃/시큐리티직격/lose플래그 등 승패-종료 조건을 판정해 PlayerTerminalCheck 평정을 산출; 게임 규칙(종료 판정) 로직
src/HeadlessDCGO.Engine/Headless/State/PlayerState.cs,Unity대체,플레이어 존/메모리/플래그 불변 상태 레코드+CRUD; ToView는 ZoneState.ToView에 위임하는 얇은 투영일 뿐 자체 판정 없음
src/HeadlessDCGO.Engine/Headless/State/PlayerZoneAdapter.cs,other,WouldDeckOutOnDraw로 덱아웃(드로우 불가) 종료조건을 직접 판정(PlayerRuleAdapter.EvaluateDeckLossOnDraw와 동일 규칙 중복 실행); 존 읽기 어댑터에 규칙 판정이 혼재
src/HeadlessDCGO.Engine/Headless/State/VisibilityView.cs,other,플레이어별 가시성(존 공개/비공개, IsCardVisibleToPlayer) 규칙을 판정해 뷰를 산출; 가시성 규칙 로직
src/HeadlessDCGO.Engine/Headless/State/ZoneState.cs,other,DefaultVisibility/IsSecretFromOwner로 존별 가시성 규칙 테이블을 보유하고 ToView에서 뷰어 기준 은닉 여부를 직접 판정; 저장을 넘어선 가시성 규칙 실행
