asis_path,비고1
DCGO/Assets/Scripts/Script/Draggable_HandCard.cs,"순수 UI 입력: 핸드카드 드래그/호버(스케일/피벗/리페어런트)(전문 확인), 게임규칙 판정 0 → 미러 불요"
DCGO/Assets/Scripts/Script/Draggable_Window.cs,"순수 UI 입력: 창 드래그 이동+범위 클램프(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/DropArea.cs,"순수 UI: 드롭 대상 패널 토글+자식탐색 유틸(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/EnterRoom.cs,"네트워킹/UI: MonoBehaviourPunCallbacks Photon 룸 입장 처리(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/EvolutionEffectObject.cs,"순수 VFX: 진화 컷인 애니메이션 베이스(Animator/스프라이트/SE)(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/FilterCardList.cs,"덱빌더 UI: 검색/필터 술어 빌더(CEntity_Base 이름·코스트·레벨·색·종별·세트 표시필터), 드롭다운/토글 입력 의존이고 게임플레이 상태변이·판정 0(전문 확인) → 미러 불요"
DCGO/Assets/Scripts/Script/FirstPlayerIndexIdToggle.cs,"순수 UI 입력: 선공 선택 토글 UnityAction 전달(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/GameplayOption.cs,"UI 옵션패널: 토글로 ContinuousController 설정플래그(autoEffectOrder/autoHatch 등) 쓰기만이고 설정상태는 ContinuousController 소유(전문 확인), 이 파일에 규칙로직 0 → 미러 불요"
DCGO/Assets/Scripts/Script/GifImage.cs,"순수 VFX: 스프라이트 프레임 gif 애니메이션(전문 확인), 게임규칙 0 → 미러 불요"
DCGO/Assets/Scripts/Script/GlowAnimation.cs,"빈 MonoBehaviour 스텁: Start/Update 본문 비어있음(전문 확인), 로직 0 → 미러 불요"
