relpath,verdict,mirror_anchor,evidence,note
DCGO/Assets/Scripts/Script/SelectBattleMode.cs,UI-OUT-OF-SCOPE,,"Battle-mode menu (Random/Room/Bot): sets isAI/isRandomMatch flags, opens sub-panels, disconnect + scene load. Flow/navigation only.",Re-verified: rule logic 0.
DCGO/Assets/Scripts/Script/SelectCommand.cs,UI-OUT-OF-SCOPE,,"Single command-button widget: OpenSelectCommandButton(text,action,index), invokes UnityAction on click, plays SE.",Re-verified: rule logic 0; pure UI button.
DCGO/Assets/Scripts/Script/SelectCommandPanel.cs,UI-OUT-OF-SCOPE,,"Command-menu panel: instantiates SelectCommand buttons from List<Command_SelectCommand> (UI DTO), animates open/close. No game decision.",Re-verified: rule logic 0; commands are pre-built UnityActions from caller.
DCGO/Assets/Scripts/Script/ServerRegionPanel.cs,UI-OUT-OF-SCOPE,,"Server-region selection panel; sets ContinuousController.serverRegion + SaveServerRegion.",Network config UI.
DCGO/Assets/Scripts/Script/ServerRegionToggle.cs,UI-OUT-OF-SCOPE,,"Toggle widget emitting region string on click.",Pure UI toggle.
DCGO/Assets/Scripts/Script/ShowEffectDiscriptionObject.cs,UI-OUT-OF-SCOPE,,"Effect-description popup: shows ICardEffect.EffectDiscription text/sprite/color, DOTween slide, opens card detail. Read-only display.",Reads effect metadata; no effect execution.
DCGO/Assets/Scripts/Script/ShowTurnPlayerObject.cs,UI-OUT-OF-SCOPE,,"'Your Turn/Opponent's Turn' banner; reads turnPlayer.isYou, sets text/color, auto-close anim.",Turn ownership decided upstream; display only.
DCGO/Assets/Scripts/Script/SideBar.cs,UI-OUT-OF-SCOPE,,"Collapsible sidebar widget (shrink/expand tween, arrow sprite swap).",Pure UI layout.
DCGO/Assets/Scripts/Script/SimpleCircleLayoutGroup.cs,UI-OUT-OF-SCOPE,,"ILayoutGroup arranging children on a circle (radius/angle).",Pure UI layout.
DCGO/Assets/Scripts/Script/SoundObject.cs,UI-OUT-OF-SCOPE,,"One-shot AudioSource SE player; self-destroys when done.",Audio only.
DCGO/Assets/Scripts/Script/TargetArrow.cs,UI-OUT-OF-SCOPE,,"Attack/target ARROW visual: rotates/sizes a RectTransform between two field-card canvas positions, follows via coroutine. Reads FieldPermanentCard positions only.",No targeting rule; renders an arrow between already-chosen units.
DCGO/Assets/Scripts/Script/TestWWW.cs,UI-OUT-OF-SCOPE,,"Editor/dev tool: scrapes card list text + downloads card images from digimoncard.com to local files (WebClient/UnityWebRequest).",Asset-fetch dev tooling; not runtime game logic.
DCGO/Assets/Scripts/Script/Title.cs,UI-OUT-OF-SCOPE,,"Title screen: click-to-start, logo fade tween, transitions to home.",Pure UI.
DCGO/Assets/Scripts/Script/TrialDraw.cs,UI-OUT-OF-SCOPE,,"Deck-editor 'trial draw' PREVIEW widget: shuffles a copy of the deck (RandomUtility.ShuffledDeckCards) and shows 5 draws as UI cards. No real game draw / no game state.",Preview-only; real draw/shuffle rule is engine MatchSetupFlow/InMemoryZoneMover. Operates on a throwaway List copy.
DCGO/Assets/Scripts/Script/VolumePanel.cs,UI-OUT-OF-SCOPE,,"SE/BGM volume sliders -> ContinuousController Set*Volume + PlayerPrefs.",Settings UI/audio.
DCGO/Assets/Scripts/Script/YesNoObject.cs,UI-OUT-OF-SCOPE,,"Generic confirm/choice dialog: binds UnityAction list to buttons, sets info text, open/close anim.",Pure UI dialog; actions supplied by callers.
